Bug-ID,Project,Classification,Summary,Description,Link,Enviroment
28638,Platform,Other,[Preferences] Import Preferences: Crashes on eclipse,"Eclipse 20021217 RH 7.3, KDE I changed the dialog font via Window>Preferences>Workbench>Font to be a bold font. Exited all preference pages and then verified the changes by going to the Editors preference page (Window>Preferences>Workbench>Editors). I then attempted to import the attached preferences via the import button. Eclipse crashes. No entries in the log, but a javacore (attached) is produced. Only occurs on linux-motif. See also bug 28637 for a different error that occurred on Windows-XP. I also saw these messages on linux, but was not sure if it was my GTK or MOTIF eclipse, or what actions had lead to this.",28638,ECLIPSE
270739,Smila,Other,[BUG: BinaryStorage Access] since rev300 BinaryStorage can not Access some files (see bug 269967),"started reproducable since rev 300 Log Message was: fix for bug 269967: Listener (Process) Task result is not processed in following Task: reworked patch proposed by Andreas Weber to less intrusive API changes. Andreas has confirmed that this one solves his problem. too. https://bugs.eclipse.org/bugs/show_bug.cgi?id=269967 Error Message: reproducable with every Version since rev 300, start Crawling and you will get in the majority of the cases some Exceptions org.eclipse.smila.blackboard.BlackboardAccessException: java.io.FileNotFoundException: File 'C:\Users\svoigt\Desktop\SMILA-incubation-win32.win32.x86-300\workspace\.metadata\.plugins\org.eclipse.smila.binarystorage.impl\storage\a8\bb\b7\55\a8bbb755b9276f33ba3d9f1eced30af388b57a8f91fc529e173c58a0da4c1c' does not exist at org.eclipse.smila.blackboard.impl.BlackboardServiceImpl.getAttachment(BlackboardServiceImpl.java:715) at org.eclipse.smila.search.lucene.index.IndexConnection.recordToDocument(IndexConnection.java:400) at org.eclipse.smila.search.lucene.index.IndexConnection.learnDocument(IndexConnection.java:310) at org.eclipse.smila.lucene.LuceneIndexService.addRecord(LuceneIndexService.java:234) at org.eclipse.smila.lucene.LuceneIndexService.process(LuceneIndexService.java:172) at org.eclipse.smila.processing.bpel.ProcessingServiceManager.doInvoke(ProcessingServiceManager.java:142) at org.eclipse.smila.processing.bpel.ExtensionManager.invokeAdapter(ExtensionManager.java:228) at org.eclipse.smila.processing.bpel.ExtensionManager.invokeActivity(ExtensionManager.java:164) at org.eclipse.smila.processing.bpel.SMILAExtensionBundle$InvokeServiceActivity.run(SMILAExtensionBundle.java:126) at org.eclipse.smila.processing.bpel.SMILAExtensionBundle$InvokeServiceActivity.run(SMILAExtensionBundle.java:138) at org.apache.ode.bpel.rtrep.v2.EXTENSIONACTIVITY.run(EXTENSIONACTIVITY.java:62) at sun.reflect.GeneratedMethodAccessor74.invoke(Unknown Source) at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source) at java.lang.reflect.Method.invoke(Unknown Source) at org.apache.ode.jacob.vpu.JacobVPU$JacobThreadImpl.run(JacobVPU.java:451) at org.apache.ode.jacob.vpu.JacobVPU.execute(JacobVPU.java:139) at org.apache.ode.bpel.rtrep.v2.RuntimeInstanceImpl.execute(RuntimeInstanceImpl.java:639) at org.apache.ode.bpel.engine.BpelRuntimeContextImpl.execute(BpelRuntimeContextImpl.java:593) at org.apache.ode.bpel.engine.BpelRuntimeContextImpl.executeCreateInstance(BpelRuntimeContextImpl.java:581) at org.apache.ode.bpel.engine.ODEProcess.executeCreateInstance(ODEProcess.java:373) at org.apache.ode.bpel.engine.ODEProcess$2.call(ODEProcess.java:295) at org.apache.ode.bpel.engine.ODEProcess$2.call(ODEProcess.java:294) at org.apache.ode.bpel.engine.ODEProcess$ProcessCallable.call(ODEProcess.java:1206) at org.apache.ode.bpel.engine.BpelInstanceWorker.doInstanceWork(BpelInstanceWorker.java:174) at org.apache.ode.bpel.engine.BpelInstanceWorker.execInCurrentThread(BpelInstanceWorker.java:108) at org.apache.ode.bpel.engine.ODEProcess.doInstanceWork(ODEProcess.java:487) at org.apache.ode.bpel.engine.ODEProcess.invokeProcess(ODEProcess.java:293) at org.apache.ode.bpel.engine.MyRoleMessageExchangeImpl.doInvoke(MyRoleMessageExchangeImpl.java:122) at org.apache.ode.bpel.engine.UnreliableMyRoleMessageExchangeImpl$1.call(UnreliableMyRoleMessageExchangeImpl.java:44) at org.apache.ode.bpel.engine.UnreliableMyRoleMessageExchangeImpl$1.call(UnreliableMyRoleMessageExchangeImpl.java:43) at org.apache.ode.bpel.engine.ODEProcess$ProcessCallable.call(ODEProcess.java:1206) at org.apache.ode.bpel.engine.Contexts.execTransaction(Contexts.java:106) at org.apache.ode.bpel.engine.BpelServerImpl$TransactedCallable.call(BpelServerImpl.java:968) at org.apache.ode.bpel.engine.BpelServerImpl$ServerCallable.call(BpelServerImpl.java:948) at java.util.concurrent.FutureTask$Sync.innerRun(Unknown Source) at java.util.concurrent.FutureTask.run(Unknown Source) at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(Unknown Source) at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) at java.lang.Thread.run(Unknown Source)",https://bugs.eclipse.org/bugs/show_bug.cgi?id=270739,ECLIPSE
144342,WTP Common Tools,Other,[emfworkbench] SetCommand created by ModelModifier causes NPE when unset feature,"The following code snippet will cause NullPointerException: helper = new ModifierHelper(getMainSectionExtensionsOwnerProvider(), feature, null)",https://bugs.eclipse.org/bugs/show_bug.cgi?id=144342,ECLIPSE
295437,WTP Incubator,Other,XQDT SF BUG#2883207: two dashes in an element,"two dashes are marked as error ""mismatched character ' ' expecting '>'"" within a direct element construter with some computed content (see example). That should be allowed, or am I wrong here? example: -------------------------- <displayname>Jane Doe {""""} -- </displayname> --------------------------",https://bugs.eclipse.org/bugs/show_bug.cgi?id=295437,ECLIPSE
128491,WTP Java EE Tools,Other,[emfworkbench] ResourceSetWorkBenchEditSynchronizer releasing projecgt resource when it shouldn't,"Using WTP 1.5 build I200602091958 Problem: When you have more than one listener for the PRE_DELETE change event of a Project, the processing should not be order dependent (i.e. one listener should not perform processing for the PRE_DELETE that prevents the other one from working). An example is when a Connector Project is being deleted. There are two listeners: org.eclipse.wst.common.internal.emfworkbench.integration.ResourceSetWorkBenchEditSynchronizer and ConnectorChangeListener. The ResourceSetWorkBenchEditSynchronizer sets the isReleasing flag to true, which means the ConnectorProject can no longer be instantiated. This prevents the ConnectorChangeListener to process its pre delete function. The ConnectorChangeListener instantiates the ConnectorProject to read some values from its deployment descriptor, which allows it to properly clean up its registry. The call stack where it now fails is: ArtifactEditModel(EditModel).getResource(URI) line 683 ArtifactEditModel.getResource(URI) line 173 ConnectorArtifactEdit.getDeploymentDescriptorResource() line 128 ConnectorArtifactEdit.getDeploymentDescriptorRoot() line 142 ConnectorArtifactEdit.getConnector() line 339 This code returns null when trying to instantiate the ConnectorProject res = WorkbenchResourceHelper.getOrCreateResource(aUri, getResourceSet())",https://bugs.eclipse.org/bugs/show_bug.cgi?id=128491,ECLIPSE
123595,WTP Source Editing,Other,Opening xml from jar causes exception.,java.lang.NullPointerException at org.eclipse.wst.xml.ui.internal.validation.DelegatingSourceValidator.validate(DelegatingSourceValidator.java:178) at org.eclipse.wst.sse.ui.internal.reconcile.validator.ReconcileStepForValidator.validate(ReconcileStepForValidator.java:221) at org.eclipse.wst.sse.ui.internal.reconcile.validator.ReconcileStepForValidator.reconcileModel(ReconcileStepForValidator.java:188) at org.eclipse.jface.text.reconciler.AbstractReconcileStep.reconcile(AbstractReconcileStep.java:96) at org.eclipse.wst.sse.ui.internal.reconcile.validator.ValidatorStrategy.reconcile(ValidatorStrategy.java:176) at org.eclipse.wst.sse.ui.internal.reconcile.StructuredRegionProcessor.process(StructuredRegionProcessor.java:175) at org.eclipse.wst.sse.ui.internal.reconcile.DirtyRegionProcessor.run(DirtyRegionProcessor.java:412) at org.eclipse.core.internal.jobs.Worker.run(Worker.java:76),https://bugs.eclipse.org/bugs/show_bug.cgi?id=123595,ECLIPSE
221164,WTP Webservices,Other,Nullpointer Exception from WSDLNewFileOptionsPage,"Build ID: I20080207-1530 Steps To Reproduce: We call org.eclipse.wst.wsdl.ui.internal.wizards.NewWSDLWizard to create new wsdl file on a diagram. In order to get the newly created definition from the wizard in eclipse 3.3 we used to extend WSDLNewFileOptionsPage in our NewVizWSDLWizard which itself extended from org.eclipse.wst.wsdl.ui.internal.wizards.NewWSDLWizard. But in the latest build we get a null pointer exception. Thread [main] (Suspended (exception NullPointerException)) WSDLNewFileOptionsPage.modifyText(ModifyEvent) line: 304 TypedListener.handleEvent(Event) line: 166 EventTable.sendEvent(Event) line: 84 Combo(Widget).sendEvent(Event) line: 982 Combo(Widget).sendEvent(int, Event, boolean) line: 1006 Combo(Widget).sendEvent(int) line: 987 Combo.select(int) line: 1388 WSDLNewFileOptionsPage.createControl(Composite) line: 208 NewVizWSDLWizard(Wizard).createPageControls(Composite) line: 170 NewVizWSDLWizard.createPageControls(Composite) line: 450 WizardDialog.createPageControls() line: 669 -------------------------------------- exception is because of the generator is null here. The better solution and simple is to allow the caller to hold of the newly created file adding method: class org.eclipse.wst.wsdl.ui.internal.wizards.NewWSDLWizard .... public IFile getDenitionFile(){ return defFile",https://bugs.eclipse.org/bugs/show_bug.cgi?id=221164,ECLIPSE
103065,WTP Webservices,Other,WSExplorer does not show any input field in the form view,"I tried the regular Echo and AddressBook wsdl, Allan was also able to reproduce this with the TemperatureService wsdl. The WS Explorer reads the wsdl ok (at least showing the right endpoint address and binding). When clicking on the method, the form view does not display any input fields at all.",103065,ECLIPSE
387787,Xtend,Other,Xtend debugging intermittently stops working,"When stepping through the actual .xtend classes with Eclipse Juno, the debugger suddenly stopped working. It would neither trip on new breakpoints nor stop on ones that it previously stopped. None of the usual 'Eclipse Dance' (cleaning, clearing the projects and restarting Eclipse, etc...) gave any relief. Eventually, it just started working again. I have not been able to reproduce this since then, but the same behavior was reported by one of my teammates. We had an idea that it may have had something to do with trace files being out of sync.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=387787,ECLIPSE
64121,z_Archived,Other,Renaming project with VE open crashes Eclipse,"When launching a new perfmon trace, if a remote registry is specified (NOTE: remote registry host, NOT remote RAC host), the perfmon agent fails to get the counters from the remote registry - leaving a tree containing only the 'Perfmon Controls' node. So far we have found that this happens with the following builds: 3.0.0_20040525_1708 3.0.0_20040519_0922 3.0.0_20040518_1016 One curiosity here is that if we get the latest code from CVS and build it from scratch using the .dsw and .dsp files everything seems to work ok. So on the face of it it may be a build problem.",64121,ECLIPSE
477459,Bugzilla,Other,"buglist.cgi crashes for logged out users if the ""Reporter"" column is displayed","On landfill, if the Reporter column is displayed while I'm logged out, buglist.cgi crashes: http://landfill.bugzilla.org/bugzilla-tip-pg/buglist.cgi?quicksearch=%40myk DBD::Pg::st execute failed: ERROR: column ""map_reporter.login_name"" must appear in the GROUP BY clause or be used in an aggregate function [for Statement ""SELECT bugs.bug_id, bugs.bug_severity, bugs.priority, bugs.bug_status, bugs.resolution, SUBSTRING(map_assigned_to.login_name FROM 1 FOR POSITION('@' IN map_assigned_to.login_name) - 1), bugs.bug_status, bugs.resolution, map_products.name, bugs.short_desc, SUBSTRING(map_reporter.login_name FROM 1 FOR POSITION('@' IN map_reporter.login_name) - 1), map_assigned_to.login_name FROM bugs INNER JOIN profiles AS map_assigned_to ON (bugs.assigned_to = map_assigned_to.userid) INNER JOIN profiles AS map_reporter ON (bugs.reporter = map_reporter.userid) INNER JOIN products AS map_products ON (bugs.product_id = map_products.id) LEFT JOIN bug_status ON (bug_status.value = bugs.bug_status) LEFT JOIN priority ON (priority.value = bugs.priority) LEFT JOIN bug_group_map ON bug_group_map.bug_id = bugs.bug_id WHERE (( bugs.bug_status IN ('REOPENED','NEW','ASSIGNED','UNCONFIRMED') )) AND ((bugs.assigned_to IN (SELECT userid FROM profiles WHERE POSITION(LOWER('myk') IN LOWER(profiles.login_name)) > 0))) AND bugs.creation_ts IS NOT NULL AND ((bug_group_map.group_id IS NULL)) GROUP BY bugs.bug_id, bugs.bug_severity, bugs.priority, bugs.bug_status, bugs.resolution, map_products.name, bugs.short_desc, map_assigned_to.login_name, bug_status.sortkey, bug_status.value, priority.sortkey, priority.value ORDER BY bug_status.sortkey,bug_status.value,priority.sortkey,priority.value,map_assigned_to.login_name,bugs.bug_id""] at /var/www/html/bugzilla-tip-pg/buglist.cgi line 1077 On my test installation, the error message mentions ""map_assigned_to.login_name"". I guess one would get the same error message if the QA contact column was displayed. Also, even if you don't display the Reporter column, you still get the following error message (appears only every other time): ""The custom sort order specified in your cookie contains an invalid column name map_assigned_to.login_name. The cookie has been cleared."" This error is only displayed for logged out users. So I'm pretty sure that's a regression due to bug 219021.",https://bugzilla.mozilla.org/show_bug.cgi?id=477459,MOZILLA
159566,Bugzilla,Other,review: list/list.html.tmpl: Error in hash initialisation; v1: move '}' one line down and add a comma.,"Tobias Burnus <burnus@gmx.de> has requested review for bug #159565: list/list.html.tmpl: Error in hash initialisation, attachment #92921 [details] [diff] [review]: v1: move '}' one line down and add a comma.. http://bugzilla.mozilla.org/attachment.cgi?id=92921&action=edit",159566,MOZILLA
160205,Bugzilla,Other,review: search/knob.html.tmpl: script type missing; space missing; v1: simple three-liner patch,"Tobias Burnus <burnus@gmx.de> has requested review for bug #160204: search/knob.html.tmpl: script type missing, space missing, attachment #93327 [details] [diff] [review]: v1: simple three-liner patch. http://bugzilla.mozilla.org/attachment.cgi?id=93327&action=edit Additional Comments from Requester: Please review.",160205,MOZILLA
16679,Core,Other,nsCookieService::GetCookieString returns NS_OK in all cases,"nsCookieService::GetCookieString returns NS_OK in all cases, regardless of whether the cookie string is found or not. I have attached a patch that fixes this bug. Could either morse or neeti review it so I can check it in? Thanks, Ed",16679,MOZILLA
2798,Core,Other,warnings: hiding inherited virtual functions,"Split out into a separate bug. See original bug #2715 for more details. Warning : 'nsContainerFrame::RemoveFrame(nsIFrame *)' hides inherited virtual function 'nsFrame::RemoveFrame(nsIPresContext &, nsIPresShell &, nsIAtom *, nsIFrame *)' nsContainerFrame.h line 152 }; Warning : 'nsContainerFrame::RemoveFrame(nsIFrame *)' hides inherited virtual function 'nsIFrame::RemoveFrame(nsIPresContext &, nsIPresShell &, nsIAtom *, nsIFrame *)' nsContainerFrame.h line 152 };",2798,MOZILLA
14899,Core,Other,RDF/XML datasource Refresh() sends bad notifications,Refresh() seems to be sending bad updates if the datasource has already been loaded. I'll work up a test case. This'll cause problems for the sidebar and flash panel to no end.,14899,MOZILLA
32559,Core,Other,Crashes every time; under Windows 98; with M14.,"Expected outcome: Should just be able to download from a link. (This CGI should work.) Okay, visiting : http://www.netscape.com/download page, and following the http://info.netscape.com/fwd/djucc2/http://cgi.netscape.com/cgi- bin/pdms_download.cgi?SYMBOL=communicator4.72-macppc- en&OS=Macintosh+PowerPC&LANGUAGE=English&PRODUCT=Communicator% 204.72&components=ON&mirror=OFF&which=client&usfree.x=1 Download link to download the latest version for the Mac causes Mozilla M14 builds to crash. I haven't checked this on the nightlies, though. Actual outcome: Mozilla crashes, everytime. Work arounds: If you right click the link, and open it in a new window, Mozilla is fine, it's just spawning the download in the current page/process that seems to be causing the problem. Summary: I think it's the event handler, but I really don't know for sure? Anyone?",32559,MOZILLA
38827,Core,Other,startDownload string not localizable,"in /chrome/global/locale/unknownContent.dtd, the string startDownload is a raw string that needs to be made into a formatted string so it can be localized.",38827,MOZILLA
96284,Core,Other,uneval(); Error.prototype.toSource() does not escape quotes correctly,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (Windows; U; Win95; en-US; rv:0.9.3) Gecko/20010801 BuildID: Mozilla/5.0 (Windows; U; Win95; en-US; rv:0.9.3) Gecko/20010801 The toSource() method of Error.prototype incorrectly handles the quotes for a literal string. An attempt to eval() code it outputs clearly will produce an error. I've been seeing this since Netscape 6.0, although I hadn't recognized it as a bug. Reproducible: Always Steps to Reproduce: 1. Run the following JavaScript code. try { var x = ""A"".toNumber() // lineNumber == 6 alert(""Hello"") } catch (exception) { document.write(exception.toSource()) throw exception } Actual Results: The page writes: (new TypeError(""""A"".toNumber is not a function"", ""file:///C:/WIN95/DESKTOP/Book/2013/Lab.htm"", 9)) Expected Results: The page should write: (new TypeError(""\""A\"".toNumber is not a function"", ""file:///C:/WIN95/DESKTOP/Book/2013/Lab.htm"", 9)) Mr. Martin Honnen deserves credit for this one; although my code detected the bug, I did not recognize it as a bug. He recognized the faulty output from Netscape 6.00. After reviewing his comments, I re-ran the code in Mozilla 0.9.3 milestone build and saw the same results.",96284,MOZILLA
32573,Core Graveyard,Other,AutoTranslate does not translate Japanese pages into English,"AutoTranslate does not translate any Japanese pages into English. Steps of reproduce 1. Select menu View|Translate 2. Enter above URL 3. Select from ""Japanese"" and to ""English"" 4. Click on ""Gist!"" button In the status bar, ""Transferring data from www.teletranslator.com"" displays for a while, Then, ""*** No Translation Begin***"" at the top of the page and the contents of the page is not translated in to English. It still in Japanese. I tested several Japanesea pages, and none of them worked. www.nikkei.co.jp www.mainichi.co.jp I tested this in 2000032006 M15 nb1b Linux, Mac, and Win32 build.",32573,MOZILLA
21670,MailNews Core,Other,mozilla Windows build of 12/13 crashes reading particular message,"I am sending Alec and mscott an email that was sent out earlier that causes the 1999-12-13-09-M12 Win32 mozilla/commercial build complete] build to crash along with crashing my HP-UX debug version. In my HP debug build I traced it too the following mailnews/local/src/nsLocalMailFolder.cpp line 1558. When I debug this on HP (I am not sure if it is the exact same problem on windows), I go through the while (aLength > 0) loop 3 times. 1st time m_leftOver = 0; 2nd time m_leftOver = 1735 3rd time (before line 1558) m_leftOver = 4096 3rd time (after line 1558) m_leftOver = 1852728684 Which really screws up line 1560.",21670,MOZILLA
158087,Mozilla,Other,dead link to cryptographic code,"In Section 10.2, the link http://home.netscape.com/eng/US-Current/faq.html#bigbrother redirects to http://wp.netscape.com/eng/US-Current/faq.html#bigbrother resulting in a page not found error.",158087,MOZILLA
131713,Mozilla,Other,Invalid Return in JavaScript,"I get the following error in the terminal when visiting the above URL. Error: invalid return Source File: http://mozilla.org/start/ Line: 80, Column: 35 Source Code: if (builddate == ""0000000000"") return; // if the build date is all zeros, assume the user self-built",131713,MOZILLA
3150,SeaMonkey,Other,incomplete .zip file,The Mozilla-win32.zip file doesn't contain the imagehlp.dll - required by just about every .exe in the zip. End result: It don't work.,3150,MOZILLA
33692,SeaMonkey,Other,Netcenter search pages are supposedly UTF-8 encoded; but are sending back bad data,"In Mozilla, if you search Netcenter (see exact full URL above) for ""Jennifer Lopez"", you'll notice that the list of results in the sidebar is incorrect. (We only display five results.) Look carefully at the third ""Web Site Category"" item. Its ""Lopez, Jennifer - found in: World>Espanol>..."". Notice how the ""Ã±"" in ""EspaÃ±ol"" is an n-umlaut. If you look at the HTML source, you'll find: <LI><a href=""http://directory.netscape.com/World/EspaÃ±ol/Artes/Cine/Actrices_y_Actores/ L/Lopez,_Jennifer""> but the n-umlaut isn't UTF-8 encoded. We either need all Netcenter search data to be properly UTF-8 encoded, or if they are using some other encoding, the associated encoding numbers needs to be described in all of our Netcenter Sherlock files. Without this being fixed, Netcenter search results with improperly encoding data will cause problems with Mozilla's search sidebar panel. John, can you work on this with Netcenter folks? Thanks.",33692,MOZILLA
34912,SeaMonkey,Other,JA: The orange gif in center of side bar panel rakuten [ichiba] produces a page not found error when clicked on in the sidebar pannel its self.,From Bugzilla Helper: User-Agent: Mozilla/6.0 (Windows NT 4.0) BuildID: 2000033112 Reproducible: Always Steps to Reproduce: 1. click on orange gif in the center of the rakuten [ichiba] side bar panel 2. results in a page not found error,34912,MOZILLA
35076,SeaMonkey,Other,"""Ticket OnlineEvents"" search extended char. problem","The ""Ticket OnlineEvents"" search widget has problems with extended characters. I performed a search for ""MÃ¼nchener Freiheit"" and got""MÃƒÆ’Ã‚Â¼nchener Freiheit"" as the search result.",35076,MOZILLA
42873,SeaMonkey,Other,Client generates corrupted UTF-8 for keyword search,The client code applies a wrong charset conversion and generates incorrect URL strings for keyword search. This diables all non ASCII keyword search (and following fallback searches) unfunctional.,42873,MOZILLA
49288,SeaMonkey,Other,Crash accessing non existent jar files,"Netscape 6 and M17 running under Windows NT4.0 SP5 immediately crashes, if a non existent jar file is accessed via the jar:http://xxx url.",49288,MOZILLA
169064,Bugzilla,Other,review: colchange.cgi is not localisable; Patch v.1,"Gervase Markham <gerv@mozilla.org> has requested review for bug #163790: colchange.cgi is not localisable, attachment #98361 [details] [diff] [review]: Patch v.1. http://bugzilla.mozilla.org/attachment.cgi?id=98361&action=edit Additional Comments from Requester: Tobias, could you take a look at this for me? :-) Thanks, Gerv",169064,MOZILLA
173157,Bugzilla,Other,review: Remove old reporting (most doomed etc.); Patch v.2,"Gervase Markham <gerv@mozilla.org> has requested review for bug #172959: Remove old reporting (most doomed etc.), attachment #101928 [details] [diff] [review]: Patch v.2. http://bugzilla.mozilla.org/attachment.cgi?id=101928&action=edit Additional Comments from Requester: This removes all the old reporting cruft. Basically, a review will involve applying the patch and making sure charting still works, as that's all that's left in reports.cgi now :-) You don't have to review this - and it's certainly not more important than the other one - but it's nice to get rid of old, bad code :-) Gerv",173157,MOZILLA
76259,MailNews Core,Other,Changing Headers View Causes Crash In NECKO.DLL,"Win98SE Moz build 2001041604 While reading a message in news, click on View / Headers / <selection> causes crash in NECKO.DLL 100% reproducible in migrated or new profile.",76259,MOZILLA
84175,Core,Other,nsHTMLEditor::IsEmptyCell should be rewritten,"I noticed these things when looking at the source code for nsHTMLEditor::IsEmptyCell (in nsTableEditor.cpp): * the method returns a PRBool, but we return an nsresult if we get an error after called GetFirstChild. * we don't do any further error checking (we get ""res"" in the call to GetNextSibling but we ignore that value and we don't even get it for ""IsEmptyNode"" call",84175,MOZILLA
21276,Core,Other,Combo boxes submit %0D%0A for no value/label/content,"If you do a salary or rates query at the realrates.com site, you get no hits using the Milestone 11 or 11/30 win32 nightly mozilla build. Works fine in Netscape 4.7",21276,MOZILLA
162670,Core ,Other,browser hangs on bugzilla and bonsai pages,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.1b) Gecko/20020812 BuildID: sometime today, cvs build every time I visit a bugzilla page with a current cvs build, I get a hang and have to kill mozilla. sorry for not choosing a component, don't know where it belongs Reproducible: Always Steps to Reproduce: 1.launch mozilla cvs build 2.visit a bugzilla page, e.g. http://bugzilla.mozilla.org/show_bug.cgi?id=18502 3. Actual Results: mozilla freezes, does not repaint the window, does not react to any key presses or mouseclicks. title bar does change to the page's title, though Expected Results: page should be displayed",https://bugzilla.mozilla.org/show_bug.cgi?id=162670,MOZILLA
61642,MailNews Core,Other,Browser crashed when navigating between folders in a POP mail account for Netscape 6.0.,In Netscape 6.0 commercial build 1116 for Sparc Solaris. 1. Launched Mail System. 2. Created a pop mail account. (server is single.eng). Browser crashed when navigating between folders inside the account.,61642,MOZILLA
FOP-71,FOP,Other,text color not working after a page break,"FO Input  <?xml version=""1.0"" encoding=""UTF-8""?> <fo:root xmlns:fo=""http://www.w3.org/1999/XSL/Format"">   <fo:layout-master-set>     <fo:simple-page-master master-name=""main"">       <fo:region-body region-name=""mainBody""/>     </fo:simple-page-master>   </fo:layout-master-set>   <fo:page-sequence master-name=""main"">     <fo:flow flow-name=""mainBody"">       <fo:block color=""red"">This is red</fo:block>       <fo:block break-before=""page"" color=""red"">This should be red</fo:block>     </fo:flow>   </fo:page-sequence> </fo:root>",https://issues.apache.org/jira/browse/FOP-71?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE 
4654,Fop - Now in Jira,Other,right align with euro symbol,"Hi! I am trying to display a table of numbers with the euro currency in front of the numbers. The table displays the text as right aligned. I am displaying the euro currency using ascii value &#8364;, but when I do this, the right aligning in the table gets messed up. Each time the euro is displayed, the numbers shift to the right one space further than they should be. Example: <fo:table> ... <fo:table-row> <fo:table-cell><fo:block text-align=""end"">111</fo:block></fo:table-cell> <fo:table-cell><fo:block text-align=""end"">222</fo:block></fo:table-cell> <fo:table-cell><fo:block text-align=""end"">333</fo:block></fo:table-cell> </fo:table-row> <fo:table-row> <fo:table-cell><fo:block text-align=""end"">4</fo:block></fo:table-cell> <fo:table-cell><fo:block text-align=""end"">5</fo:block></fo:table-cell> <fo:table-cell><fo:block text-align=""end"">6</fo:block></fo:table-cell> </fo:table-row> <fo:table-row> <fo:table-cell><fo:block text-align=""end"">&#8364;7777</fo:block></fo:table-cell> <fo:table-cell><fo:block text-align=""end"">&#8364;8888</fo:block></fo:table-cell> <fo:table-cell><fo:block text-align=""end"">&#8364;9999</fo:block></fo:table-cell> </fo:table-row> ... </fo:table> Will display as: 111 222 333 4 5 6 E7777 E8888 E9999 This is very important because we use this for reporting for all external advertising clients in many different countries. If we are unable to display the euro symbol right aligned in a table properly then Yahoo! will lose a lot of income. Please help! Thanks, Amy Weiss Technical Yahoo! Yahoo! Inc. 701 First Ave. Sunnyvale, CA 94089 (P) 408-349-6232 (E) aweiss@yahoo-inc.com ï¿½ï¿½ï¿½`ï¿½ï¿½ï¿½ï¿½,ï¿½ï¿½,ï¿½ï¿½ï¿½ï¿½`ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ DO YOU YAHOO? ï¿½ï¿½ï¿½`ï¿½ï¿½ï¿½ï¿½,ï¿½ï¿½,ï¿½ï¿½ï¿½ï¿½`ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",4654,APACHE 
917,Fop - Now in Jira,Other,"this special character is not rendered correctly in the pdf,","There is is french character with ascii value 138 (back tick/quote on top of the letter 'e'. This back tick/quote is similar to single quote - available on the same key as tilda i.e. first key in the second row on the keyboard). This character is not processed correctly while pdf is being rendered. When I see the generated pdf file, this character appears as '#'. A String similar to ""1ch36962?"" is displayed on the standard output, while the pdf is being rendered.",917,APACHE 
28875,Tomcat 5,Other,"Multi-byte characters in default error page aren't printed out correctly,","Hi, When working the latest Tomcat 5, any multi-byte characters in the default error page using ErrorReportValve are not printed out correctly. As a result of detail investigation, I found that an error report had been written to the writer of response which didn't applied the suitable character encoding in ErrorReportValve. So, I suggest a solution to ensure that every multi-byte character is normally printed out in this page, and send the following patch. Index: jakarta-tomcat- catalina/catalina/src/share/org/apache/catalina/valves/ErrorReportValve.java =================================================================== RCS file: /home/cvspublic/jakarta-tomcat- catalina/catalina/src/share/org/apache/catalina/valves/ErrorReportValve.java,v retrieving revision 1.16 diff -u -w -r1.16 ErrorReportValve.java --- jakarta-tomcat- catalina/catalina/src/share/org/apache/catalina/valves/ErrorReportValve.java 8 May 2004 22:33:22 -0000 1.16 +++ jakarta-tomcat- catalina/catalina/src/share/org/apache/catalina/valves/ErrorReportValve.java 10 May 2004 10:40:52 -0000 @@ -308,19 +308,16 @@ try { - Writer writer = response.getReporter(); - - if (writer != null) { - - Locale locale = Locale.getDefault(); - try { - hres.setContentType(""text/html""); - hres.setLocale(locale); + hres.setContentType(""text/html; charset=utf-8""); } catch (Throwable t) { if (debug >= 1) log(""status.setContentType"", t); } + + Writer writer = response.getReporter(); + + if (writer != null) { // If writer is null, it's an indication that the response has // been hard committed already, which should never happen I hope that this patch will be applied before next release. Regards,",28875,APACHE 
