class,pred1,pred2,equals,Summary,Description,Enviroment
Other,Other,Other,True,"Need the ability to change the port number for HTTP,","We want to run JMeter on some servlets that are running on port 8080 (not the normal 80), it appears this can't be configured right now. I put this priority to high because there currently is no workaround (aside from editing the source code ;-).",APACHE
Other,Other,Other,True,RMIC needs debug generation parameter support/property BugRat Report#350,"There needs to be a way to generate debug RMIC stub/skel outputs. Just like javac, a parameter like: debug=""on"" or debug=""off"" should be supported. I'd hack the code to do it myself, but I felt it should go through the official channels. ;) Thanks, John",APACHE
Other,Other,Other,True,"Need to be able to set ""scheme"" for SSL offloading","ServerName and Port are available for virtualization, proxying to apache, and load balancing so that apache knows how to refer to itself in such situations. However, in an SSL offloading situation, we need to be able to tell apache that it's scheme is 'https' not http so that when it creates self-referencing URLS, they have the right scheme. So I'd like a ""Scheme"" or ""ServerScheme"" type of Directive so that SSL offloading can happen with an application having specifically override this. Thanks",APACHE
Other,Configuration Bug Report,Configuration Bug Report,False,"Upgrade Exceptions from fop 0,95 to 1,o","i tried to upgrade from 0.95 to 1.0 version, and getting the exception attached when generating the TIFF image. These are my changes 0.95 jars 1.0 upgrade changes ======================== ============================= fop0.95.jar - fop1.0.jar xercesImpl-2.6.2.jar - xercesImpl-2.7.1.jar xmlgraphics-commons-1.3.1.jar - xmlgraphics-commons-1.4.jar other Jars using ================= xalan-2.7.0.jar batik-all-1.7.jar avalon-framework-4.2.0.jar barcode4j-fop-ext-complete.jar please help me out in this problem Thanks Murthy",APACHE
Other,Other,Configuration Bug Report,False,Metrics needed with Type 1 fonts to have accentuated chars,"Created attachment 24821 [details] Conf file used to embed fonts FOP: trunk r897221 Used font: any type 1 (tested with Sansa, Vectora, Helvvetica Neue) If I don't provide xml metric file, I get a [Warn] in log file for each accentuated char. [WARN] FOUserAgent - Glyph ""ï¿½"" (0xe9, eacute) not available in font ""xxx"". [WARN] FOUserAgent - Glyph ""ï¿½"" (0xe0, agrave) not available in font ""xxx"". [WARN] FOUserAgent - Glyph ""ï¿½"" (0xf4, ocircumflex) not available in font ""xxx"". Note that Fop 0.95 behaves as expected with or without the metric files. I can provide fonts only for testing and out off list (due to license restrictions).",APACHE
Other,Other,Other,True,Compliance page needs to be updated,"FOP's compliance page (http://xmlgraphics.apache.org/fop/compliance.html) still refers to XSL-FO 1.0 whereas the project set its goal to reach XSL-FO 1.1 compliance several years ago by now. The text needs to be refreshed, the links to the specification updated and entries for XSL-FO 1.1 elements must be added in the compliance tables.",APACHE
Other,Other,Other,True,Add handling of the ZoomAndPan attribute,Missing. Batik does not pass interact-zoomPan-BE-01.svg.,APACHE
Other,Other,Other,True,Add support for overflow on clip-path,Missing to pass the second BE-Test on clip-path.,APACHE
Other,Configuration Bug Report,Other,False,[PATCH] A code-coverage tool for code analysis,"Created attachment 27909 [details] jacoco code coverage This patch adds a code-coverage ant task in jacoco.xml such that the invoking command would be: ant -f jacoco.xml clean code-coverage This, like the find-bugs task, requires that ${jacoco.lib} property is set best done in a build-local.properties file. Jacoco is the successor to Emma, which is a well established code analysis tool",APACHE
Other,Other,Other,True,"Ant1,2's optional tasks does not compile against JUnit 3,5","The documentation for the junit task states: 'This task requires JUnit 3.0 or above.' Sadly, that is not true! If you try to use the precompiled optional tasks with JUnit 3.5 you will get a AbstractMethodException thrown. The course is a change of interface by the JUnit team, junit.framework.TestResult.addFailure has had its second argument has been narrowed from Throwable to AssertionFailedError. The Ant classes that are affected by this are as followed: JUnitTestRunner SummaryJUnitResultFormatter PlainJUnitResultFormatter XMLJUnitResultFormatter - Chris. Brainbench MVP Java2.",APACHE
Other,Other,Other,True,Add metrics-version attribute to XML font metrics file,Needed to detect incompatible changes between versions of these files (see bug #40724 comment #1).,APACHE
Other,Other,Configuration Bug Report,False,JK Apache HowTo documentation doesn't explain the --enable-prefork option of the configure script,"Hi, The changelog of JK shows that in version 1.2.11, ""pero"" added the ""--enable- prefork"" configure option to the JK documentation. Although this option seems to be valid (at least configure shows ""...Enabling Prefork mode..."" when I set it), it's not documented anywhere. I don't even know if the fact of specifying it, does anything at all. I'm using the latest JK 1.2.21. Thank you!",APACHE
Other,Configuration Bug Report,Other,False,"[PATCH] Upgrade to Java 1,5 - Added type-safe parameters to collections in Fonts","Created attachment 26279 [details] Upgraded collections in o.a.f.fonts I have appended suitable type-safe parameters to the collections in the o.a.f.fonts package e.g. List x = ArrayList() is now List<CLASS> x = ArrayList<CLASS>. I've also made a few style changes, previously all the implemented collections were prefixed by their qualified class name (i.e. java.util.ArrayList) for some reason. I've just added them to the import list. There has been previous discussion on this in bug 49696, but since no one seems to care either way and it's just causing unnecessary confusion. I have tested it and there doesn't seem to be any visual difference in PS or PDF though there are differences in the actual files. The fonts are described in a different order in the file. This is probably because we're using HashMaps and the hashes are different, so when iterated through, they come out in a different order.",APACHE
Other,Configuration Bug Report,Other,False,Updates to Apache XML Graphics Charter,"Small updates to Apache XML Graphics Charter. PATCH contains 3 files, current 'immutable' charter: XMLGraphicsProjectCharter: ApacheXMLGraphicsProjectCharter.txt (current) ApacheXMLGraphicsProjectCharterB.txt (Clay's mods) xmlgcharter.txt (diff -u ApacheXMLGraphicsProjectCharter.txt ApacheXMLGraphicsProjectCharterB.txt > xmlgcharter.txt",APACHE
Other,Other,Other,True,Document Creation Should Validate and Warn for Special Characters,Creating a new document with Document ID does:not_work will cause an exception (No resource type defined for document [default:authoring:/index/does:not_work]!) It seems that the validation is not implemented in 1.4 yet. Should it be done like in 1.2 with a javascript (function validateForm(theForm))?,APACHE
Other,Other,Other,True,[PATCH] Add support for apr_hash_this_*,"Created attachment 25242 [details] Patch to implement the apr_hash_index_* functions In using the apr_hash data structure in Subversion, we've found that we often only want the key or value from a hash. Furthermore, casting the various return parameters has proven cumbersome. To solve this problem, we've introduced three helper functions to return the key, key length, and value from a hash iterator. We've found these functions quite useful, so I'm including a patch to add them to APR proper. The patch is against trunk, but if possible, I'd like to see these APIs backported to 1.5.x. This patch was submitted to the mailing list several weeks ago, and received positive discussion but nobody committed it. I'm posting it here so that somebody eventually does commit it.",APACHE
Other,Other,Other,True,Adding X509 subelements impotent for signing,"signature.addKeyInf(cert); signature.getKeyInfo().itemX509Data(0).addSubjectName(cert.getSubjectName().toString()); X509Certificate is found in signature, but no X509SubjectName. Same happens for X509IssuerSerial",APACHE
Other,Other,Other,True,Depend task not in documentation,The Depend task is not included in the HTML manual,APACHE
Other,Other,Other,True,Description of VSS label task missing,"A description of the VSSLABEL task (which I wrote) is missing. You should be able to extract documenation for this from the javadoc, but if you need anything more, just let me know.",APACHE
Other,Other,Other,True,TVT3.0: Missing link in CDT doc 'Debug Tutorial',"1. Go to C/C++ development User Guide 2. Expand ""Getting Started"" 3. Click on 'CDT Importing an Existing Project Tutorial' 4. Click 'Debugging Tutorial' The link cannot be found. See attached screenshot",ECLIPSE
Other,Other,Other,True,Register: user created register groups disappear after debug session restart,"Eclipse 3.1 + cdt 3.0 RC1 Start a debug session and create some register groups. Restart the debug session, all user created groups are gone.",ECLIPSE
Other,Other,Other,True,Fix bugs in Phoenix css files and add support for greyed-out left nav menu items,"While browsing through the Phoenix CSS, I discovered some missing commas and some missing class qualifiers. This patch fixes those, plus it adds a couple items for my upcoming project-specific left nav items (see bug 118282). Specifically, it adds support for left nav items that are greyed-out because the project does not support that item yet.",ECLIPSE
Other,Other,Other,True,"""Top Ten Voted Bugs"" should include RESOLVED/LATER","The ""Top Ten Voted Bugs"" should also include RESOLVED/LATER. In particular, the following bugs should be on the list: * bug 37154 - [Team] Support for subversion (93 votes) * bug 72487 - [Browser] Allow Firefox as browser widget (86 votes)",ECLIPSE
Other,Other,Other,True,Add new features to the timeline page,* Restricted time increment (right now it is hard coded,ECLIPSE
Other,Other,Other,True,Exchanging entity objects contents when renaming a certain entity,"If I have a JPA project with two or more JPA entities in it and I rename one of the entities, the result is that not only the corresponding underlying GenericJavaPersistentType object is renamed, but all the GenericJavaPersistentType objects are renamed in random manner and in result all these objects are becoming some other objects - they've exchanged their names and attributes. It sounds a little bit unclear, so please follow the steps described below to reproduce it. 1. Start IDE 2. Create a new 'Eclipse application' debug configuration and start it 3. In the debugged IDE open Java EE perspective 4. Create a new JPA project 5. In the first open IDE, in org.eclipse.jpt.core.internal.context.java.GenericJavaPersistentType put a break point at the beginning of the method 'setName(...)' 6. Create two (or more) JPA entities in this project and memorize or write down the debug ids of the newly created GenericJavaPersistentType objects 7. In the project explorer right-click of one of the entities source and select 'Refactor->Rename' 8. Rename the chosen entity with some new valid name Result: You will notice that not only the selected entity is renamed, but all of the entities are renamed. Something more - they will be renamed randomly with the new and old names. At the end of this you will have a consistent set of GenericJavaPersistentType objects, but with exchanged names (and attributes) For example: Let's say that after creation we have two entities: E1 - debug id: 169 E2 - debug id: 184 After renaming E1 to E111 we will have: E111 - debug id: 184 E2 - debug id: 169 (E1 became E2 and E2 became E111) NOTE: Sometimes all the entities are renamed exactly in the way they have to be renamed E1 becomes E111 and E2 becomes E2, so you may have to repeat the steps with the other object to reproduce the problem. It's a big blocker for my work, because I'm implementing a software module, which requires the PersistentType objects to stay the way they are - not to ""become some other"" objects. I'll try to implement a JUnit test ASAP which catches the problem.",ECLIPSE
Other,Other,Other,True,No Error on Missing View Model in Debug Mode,Missing view model in view model extension point in debug mode does not show any error.,ECLIPSE
Other,Other,Other,True,FacesConfig Editor preferences page needs more info for screen readers,"Version: 3.4.1, Build ID: M20080911-1700 Steps To Reproduce: 1) Create a Web project with the JavaServer Faces configuration. 2) Open the Preferences dialog and go to Web -> JavaServer Faces Tools -> FacesConfig Editor. 3) If you tab around the options on this page, Window-Eyes 6.1 and Microsoft Inspect Objects don't have enough information to fully describe these controls. - ""Canvas"", ""Icons"" and ""Connection Lines"" (the section labels) are never read by the screen reader at all. - Background color & Grid Color (under Canvas) are read as just ""Color Selector"" (something like ""Grid Color - Color Selector"" would be more helpful so you know what color you're setting). The same problem exists with Label color & Line color under Connection Lines. - ""Label font: [label]"" under Connection Lines is never read. Only ""Change"" (the button label) is, so it's hard to know what this button will change. The same problem exists with ""Label font: [label]"" under Icons. These are accessibility issues.",ECLIPSE
Other,Other,Other,True,[Dialogs] Dialog font should be used by jdt debug component,.,ECLIPSE
Other,Configuration Bug Report,Configuration Bug Report,False,"bugfix: CfgParser support for resolving environment variables, macros and include files","bugfix: CfgParser support for resolving environment variables, macros and include files This is used for generating temp cfg file",ECLIPSE
Other,Other,Other,True,Adding a bug reports page to the Web site,"Adding a bug reports page to the Web site. This page shows various interesting queries such as bugs that are resolved, but not verified.",ECLIPSE
Other,Other,Other,True,Create Wizard servlet,Then i tray create new servlet in Create servlet tools: Source folder path must be absolute. and finish botton not activate,ECLIPSE
Other,Other,Other,True,"Download page needs to be updated to remove ""required ws"" section","Now that WS 3PC is being re-distributed in download zips, I think we should remove these download instructions to avoid confusion. Chris ... assigning to you intially ... since you are WebServices component owner, .. but if there's a ""releng"" person more appropriate, please re-assign. Thanks, = = text on download page = = REQUIRED! # After WTP is installed, additional features MUST be enabled as described below. Although we intended these features to be optional, due to an unforeseen dependency, they are in fact required. We are working to simplify the installation procedure in future builds. For now, we apologize for the inconvenience. Web Services can be enabled by following the instructions here.",ECLIPSE
Other,Other,Other,True,README: Add readme item for Log Import problem on iSeries V4R5 (bugzilla 126792),Bugzilla 126792 reported a log import timeout problem on an iSeries V4R5 system. A readme item should be added for this problem,ECLIPSE
Other,Other,Other,True,Debug information should be in your build result.,"Otherwise we do not have line numbers in stacks trace. It will be a problem later on, when others will start to use Corona.",ECLIPSE
Other,Other,Other,True,[Platform Project] Create Bugzilla component for statistical reports.,[Platform Project] Create Bugzilla component for statistical reports. The following plug-ins and feature are not in a Bugzilla component: Plugins: org.eclipse.tptp.platform.statistical.report.birt org.eclipse.tptp.platform.statistical.report.birt.ui org.eclipse.tptp.platform.statistical.report.birt.doc.user Feature: org.eclipse.tptp.platform.statistical.report.birt We should create a component (Platform.UI.Reporting) in Bugzilla to support these plug-ins and feature in past and future releases. NOTE: This new component should be added to the TPTP Project Matrix: http://www.eclipse.org/tptp/home/project_info/structure/TPTP_Project_Info.html NOTE 2: This is already a Platform.UI.Reporting component under the Test Project that will be renamed in the near future.,ECLIPSE
Other,Other,Other,True,Profile java application launch should use DebugPlugin.ATTR_CONSOLE_ENCODING,"See bug 228936 for some history. Currently all console output from a profiled Java application is converted to the system's default encoding. So for example if a Java application outputs Japanese characters, then on an English Windows system the characters will show up as ?. Supporting different character sets can be achieved by setting the file.encoding system property. This is the approach taken by the JDT launch implementation, storing the encoding in the DebugPlugin.ATTR_CONSOLE_ENCODING attribute of the launch config. JDT chooses a sensible default based on the encoding of the file where main() resides. For parity with the JDT launch, we should pass -Dfile.encoding=<value of ATTR_CONSOLE_ENCODING>. By doing so we can support the display of any character set supported by the workbench's JVM.",ECLIPSE
Other,Other,Other,True,Support line breakpoints in JS debug,A line breakpoint is a breakpoint on a specific line of code. This bugzilla just covers always hitting the breakpoint. Conditions on line breakpoints will be a separate bugzilla.,ECLIPSE
Other,Other,Other,True,M8 Documentation updates on statistical console,There is still work to be done to make the statistical console docs GA ready. Please assign somebody in your team to work on that. Nellie Chau is the Hyades ID contact. Main issues: - the docs have no real usecase scenario description,ECLIPSE
Other,Other,Other,True,provide Find and Filter toolbar buttons in UML2SD view,User can open Find/Filter(standard or extended) dialog with the toolbar buttons quickly,ECLIPSE
Other,Other,Other,True,provide API for execution occurance to set the start and end time,provide API such that execution occurance can contribute to the compress time bar on the left side of the graph.,ECLIPSE
Other,Other,Other,True,provide support to customize Graph Node and spacing size,"Provide API to customize the size for graph Node(vertical and horizontal), as well as spacing in between graphNodes in SD view.",ECLIPSE
Other,Other,Other,True,provide API for graph node stroke color,"There is only API for graph node fill color, extra API is required for stroke color. Thanks.",ECLIPSE
Other,Other,Other,True,provide API for graph node overlay icon,"we need to put an overlay icon for expend/collapse graph node in log interaction view, and requires API for the features. attach of screen shot describing how the overlay icons lated in graph node follows Thanks.",ECLIPSE
Other,Other,Other,True,Datapool Evaluator and Iterator extension points should be moved to test.datapool package. Extension point schemas also missing.,"The extension points datapool_evaluator and datapool_iterator are currently in the org.eclipse.hyades.models.common class. They should be moved to the org.eclipse.hyades.test.datapool class to prevent a circular reference. In addition, the schemas for these extension points are missing.",ECLIPSE
Other,Other,Other,True,Need a programmatic way to open the highlighting rectangle from the time compression bar to the interested lifeline,To be used from Trace Interactions when a time selection arrives from other views. Needs also selection provider to emit an ITimeSelection if the user has opened it manually (but not programmatically).,ECLIPSE
Other,Other,Other,True,Coverage Statistic: Update filter method,"NEW SPECIFICATIONS: A filter in the UI consists of these parts: a ""package or class"" name pattern, possibly containing stars a method name pattern, possibly containing stars a ""rule,"" INCLUDE or EXCLUDE A UI filter of type INCLUDE that has package/class pattern ""com.queue.*"" and method pattern ""*"" looks like this: <filter pattern=""com.queue."" mode=""INCLUDE"" genericPattern=""SUFFIX"" methodPattern="""" methodMode=""INCLUDE"" methodGenericPattern=""PREFIX""/> What I can tell from this is that the star was removed from the pattern string and changed into the genericPattern=""SUFFIX"" attribute. That means ""use this pattern as the prefix and accept any suffix."" That's OK, it's just another way to represent the same user intent. The XMLfilterLoader class discards the method parts and populates a TRCFilter object like this: String:type = ""SUFFIX"" String:pattern = ""com.queue."" String:mode = ""INCLUDE"" Boolean:active = true String:operation = (empty string) PATTERN RESULT foo Matches only class ""foo"" in the global (unnamed) package. Does not match class ""pkg.foo"" Does not match class ""foo.bar"" Does not match class ""foobar"" in the global package foo.bar exact match for package foo, class bar Does not match class ""foo.bar.baz"" Does not match class ""foo.barbaz"" Does not match inner class ""foo.bar$inner"" foo* matches class ""foo"" in the global package matches class ""foobar"" in the global package matches class ""bar"" in the package ""foo"": * foo.bar matches class ""baz"" in the package ""foobar"": foobar.baz In short, matches any class in the global package starting with foo, AND any class whose package name starts with ""foo"" foo.* matches all classes in the package foo: foo.bar matches all classes in subpackages of foo: foo.bar.baz Does not match classes in the global package whose names start with foo (because of the trailing dot) Does not match classes in package foobar, like foobar.baz *foo matches all classes whose names end with foo, regardless of package. Does not match classes whose package names end with foo: barfoo.baz Matches class foo in the global package. Matches class bar.foo Matches class bar.anyfoo Does not match class foobar in the global package Does not match class any.foobar Does not match class anyfoo.bar *.foo matches classes called ""foo"" in any package EXCEPT the global package. Matches *foo* matches all classes with letters f-o-o anywhere in package or class name *.foo.* matches all classes where ""foo"" is one of the package components exactly, but not the first package component. Matches class x.foo.y (y is the class name) Matches class x.foo.y.bar (bar is the class name) *foo.bar* matches all classes where the package name string contains the substring foo.bar, AND all classes where the package ends with foo and the class starts with bar. Matches foo.bar Matches xfoo.bar Matches foo.bary Matches xfoo.bary Matches xfoo.bary.baz",ECLIPSE
Other,Other,Other,True,(MON) Provide range filtering for GLA filter blade,"The GLA filter blade needs to support range filtering, as follows: The user can specify to: Show [scope] [value] [unit]. where the variables are described in the table below. Description [scope] first, last [value] A user-defined numeric value [units] seconds, minutes, hours, events For example, the user might specify to â€œShow last 100 eventsâ€",ECLIPSE
Other,Other,Other,True,Prerequisite of feature / bug 74652,"Need to have a vision on how 74652 should be developed, tested, and showcased. 1. Which APIs should 74652 be coded against? 4.0 or the new APIs 2. How should 74652 be tested and showcased? Which agent(s) should it be used? Need to decide on one of the following options as a prerequisite of 74652: 1. The new Agent Controller would be backward compatible and should support 3.3/4.0 TPTP clients/agents (i.e. the new Agent cotroller would support the 3.3/4.0 client/agent APIs). In this case, 74652 would be coded against the 4.0 APIs as appropriate 2. The new Agent Controller would not be backward compatible, but 74652 would be coded against the 4.0 APIs anyways. 74652 would need to be migrated in the future to work with the newer APIs. 3. Migrate the relevant agents and workbench first before doing 74652 Which approach should we take?",ECLIPSE
Other,Other,Other,True,Eclispse corner article,We need to write a series of articles for Eclipse Corner. The first one should be focus on TPTP overview/scope and adoption models. Ling,ECLIPSE
Other,Other,Other,True,[Deployment] File transfer service to support ability for command versions,"The file transfer service needs to support scenarios where the server command might be a different version than the client commmand. Without this, the client and server might have mismatched protocol expectations and it could fail. This could be implemented one of many ways: o Version tag new command implementations and versions, load via version tags o Transfer the file command itself at the beginning of the transfer, basically sending the command identity followed by the command .class file then use custom class loader to load it and execute it",ECLIPSE
Other,Other,Other,True,[Extensibility] Support for connection in test execution service for IAC and security,"A connection string for the agent controller is needed to easily specify IAC or RAC for a given automated test execution service execution. Also, port can be overridden as well as a user id and password supplied for secure connections.",ECLIPSE
Other,Other,Other,True,TPTP Tester Guide::Performance chapter updates,"tasks/trecordtest.htm -> Change ""HTTP Proxy Recorder"" to ""HTTP Recording""",ECLIPSE
Other,Other,Configuration Bug Report,False,Provide a means to configure new AC so that it only launches pre-defined set of aliases,"New AC allows any application to be launched. Need to make this configurable for security reasons, to only allow a predefined set of applications to launch.",ECLIPSE
Other,Other,Other,True,"""Extending"" chapter not shipped in driver","The entire chapter that has the TPTP samples in the ""Monitoring"" book is not shipped in today's driver.",ECLIPSE
Other,Other,Other,True,Extend Filter action is missing in Log Interaction View,"Extended Filter action is contributed thru IExtendedFilterProvider in LogInteraction class. But The Extended Filter action is not shown up in toolbar pull-down menu(only see Extended Find action). Besides, the Extended Find and Filter actions are not showing up in context menu of UML2SD view anymore.",ECLIPSE
