Bug-ID,Project,Classification,Summary,Description,Link,Enviroment,llm_pred,Explanation
1204,JMeter,Other,"Need the ability to change the port number for HTTP,","We want to run JMeter on some servlets that are running on port 8080 (not the normal 80), it appears this can't be configured right now. I put this priority to high because there currently is no workaround (aside from editing the source code ;-).",1204,APACHE,Configuration,"The bug report is related to configuration as it involves changing a port number, which is a typical configuration setting. The description also mentions that there is no workaround aside from editing the source code, indicating that this is a limitation in the current configuration."
224,Ant,Other,RMIC needs debug generation parameter support/property BugRat Report#350,"There needs to be a way to generate debug RMIC stub/skel outputs. Just like javac, a parameter like: debug=""on"" or debug=""off"" should be supported. I'd hack the code to do it myself, but I felt it should go through the official channels. ;) Thanks, John",224,APACHE,Configuration,"The bug report is related to configuration because it mentions adding a parameter (debug) for debug generation in RMIC stub/skel outputs, which suggests that the issue is with how the tool is configured or used."
33398,"Apache httpd-1,3",Other,"Need to be able to set ""scheme"" for SSL offloading","ServerName and Port are available for virtualization, proxying to apache, and load balancing so that apache knows how to refer to itself in such situations. However, in an SSL offloading situation, we need to be able to tell apache that it's scheme is 'https' not http so that when it creates self-referencing URLS, they have the right scheme. So I'd like a ""Scheme"" or ""ServerScheme"" type of Directive so that SSL offloading can happen with an application having specifically override this. Thanks",33398,APACHE,Configuration,"This bug report is related to configuration because it involves modifying the Apache httpd server's behavior in a specific scenario (SSL offloading) and requires a new directive to set the scheme, which affects how the server generates self-referencing URLs."
49681,Fop - Now in Jira,Other,"Upgrade Exceptions from fop 0,95 to 1,o","i tried to upgrade from 0.95 to 1.0 version, and getting the exception attached when generating the TIFF image. These are my changes 0.95 jars 1.0 upgrade changes ======================== ============================= fop0.95.jar - fop1.0.jar xercesImpl-2.6.2.jar - xercesImpl-2.7.1.jar xmlgraphics-commons-1.3.1.jar - xmlgraphics-commons-1.4.jar other Jars using ================= xalan-2.7.0.jar batik-all-1.7.jar avalon-framework-4.2.0.jar barcode4j-fop-ext-complete.jar please help me out in this problem Thanks Murthy",49681,APACHE,Configuration,"The bug report is related to configuration because it involves upgrading from one version of FOP (0.95) to another (1.0), which requires changes in the classpath and dependencies, indicating a configuration issue."
48512,Fop - Now in Jira,Other,Metrics needed with Type 1 fonts to have accentuated chars,"Created attachment 24821 [details] Conf file used to embed fonts FOP: trunk r897221 Used font: any type 1 (tested with Sansa, Vectora, Helvvetica Neue) If I don't provide xml metric file, I get a [Warn] in log file for each accentuated char. [WARN] FOUserAgent - Glyph ""ï¿½"" (0xe9, eacute) not available in font ""xxx"". [WARN] FOUserAgent - Glyph ""ï¿½"" (0xe0, agrave) not available in font ""xxx"". [WARN] FOUserAgent - Glyph ""ï¿½"" (0xf4, ocircumflex) not available in font ""xxx"". Note that Fop 0.95 behaves as expected with or without the metric files. I can provide fonts only for testing and out off list (due to license restrictions).",48512,APACHE,Configuration,"The bug report is related to configuration because it mentions a specific font type (Type 1) and the use of metric files, which suggests that the issue is with the configuration of the fonts or the metrics used in the FOP project. The fact that Fop 0.95 behaves as expected without the metric files also supports this classification."
46565,Fop - Now in Jira,Other,Compliance page needs to be updated,"FOP's compliance page (http://xmlgraphics.apache.org/fop/compliance.html) still refers to XSL-FO 1.0 whereas the project set its goal to reach XSL-FO 1.1 compliance several years ago by now. The text needs to be refreshed, the links to the specification updated and entries for XSL-FO 1.1 elements must be added in the compliance tables.",46565,APACHE,Configuration,"The bug report is related to updating configuration information (compliance page) on a project's website, which suggests it's a configuration issue."
824,Batik - Now in Jira,Other,Add handling of the ZoomAndPan attribute,Missing. Batik does not pass interact-zoomPan-BE-01.svg.,824,APACHE,Configuration,"The bug report is related to configuration because it mentions a specific attribute 'ZoomAndPan' which suggests that the issue is with how Batik handles this attribute, possibly in its configuration or settings."
566,Batik - Now in Jira,Other,Add support for overflow on clip-path,Missing to pass the second BE-Test on clip-path.,566,APACHE,Configuration,"The bug report is related to a specific feature (clip-path) and environment (APACHE), which suggests that it might be a configuration issue."
52151,Fop - Now in Jira,Other,[PATCH] A code-coverage tool for code analysis,"Created attachment 27909 [details] jacoco code coverage This patch adds a code-coverage ant task in jacoco.xml such that the invoking command would be: ant -f jacoco.xml clean code-coverage This, like the find-bugs task, requires that ${jacoco.lib} property is set best done in a build-local.properties file. Jacoco is the successor to Emma, which is a well established code analysis tool",52151,APACHE,Configuration,"This bug report is related to configuration because it involves modifying build files (jacoco.xml and build-local.properties) to add a new code-coverage ant task, which suggests that the issue is with the project's setup or configuration rather than a coding error."
575,Ant,Other,"Ant1,2's optional tasks does not compile against JUnit 3,5","The documentation for the junit task states: 'This task requires JUnit 3.0 or above.' Sadly, that is not true! If you try to use the precompiled optional tasks with JUnit 3.5 you will get a AbstractMethodException thrown. The course is a change of interface by the JUnit team, junit.framework.TestResult.addFailure has had its second argument has been narrowed from Throwable to AssertionFailedError. The Ant classes that are affected by this are as followed: JUnitTestRunner SummaryJUnitResultFormatter PlainJUnitResultFormatter XMLJUnitResultFormatter - Chris. Brainbench MVP Java2.",575,APACHE,Configuration,"The bug report is related to a configuration issue because it involves compatibility problems between Ant and JUnit, specifically with the optional tasks not compiling against certain versions of JUnit."
40739,Fop - Now in Jira,Other,Add metrics-version attribute to XML font metrics file,Needed to detect incompatible changes between versions of these files (see bug #40724 comment #1).,40739,APACHE,Configuration,"The bug report is related to configuration because it involves adding a new attribute to an XML file, which suggests that the issue is with the project's configuration or setup. The mention of detecting incompatible changes between versions also implies that the problem lies in how the system is configured."
41757,Tomcat Connectors,Other,JK Apache HowTo documentation doesn't explain the --enable-prefork option of the configure script,"Hi, The changelog of JK shows that in version 1.2.11, ""pero"" added the ""--enable- prefork"" configure option to the JK documentation. Although this option seems to be valid (at least configure shows ""...Enabling Prefork mode..."" when I set it), it's not documented anywhere. I don't even know if the fact of specifying it, does anything at all. I'm using the latest JK 1.2.21. Thank you!",41757,APACHE,Configuration,"The bug report is related to a specific configuration option (--enable-prefork) of the configure script, which suggests that it's a configuration-related issue."
50245,Fop - Now in Jira,Other,"[PATCH] Upgrade to Java 1,5 - Added type-safe parameters to collections in Fonts","Created attachment 26279 [details] Upgraded collections in o.a.f.fonts I have appended suitable type-safe parameters to the collections in the o.a.f.fonts package e.g. List x = ArrayList() is now List<CLASS> x = ArrayList<CLASS>. I've also made a few style changes, previously all the implemented collections were prefixed by their qualified class name (i.e. java.util.ArrayList) for some reason. I've just added them to the import list. There has been previous discussion on this in bug 49696, but since no one seems to care either way and it's just causing unnecessary confusion. I have tested it and there doesn't seem to be any visual difference in PS or PDF though there are differences in the actual files. The fonts are described in a different order in the file. This is probably because we're using HashMaps and the hashes are different, so when iterated through, they come out in a different order.",50245,APACHE,Configuration,"The bug report is related to configuration because it involves changes to the codebase, specifically adding type-safe parameters to collections and making style changes, which are likely part of a larger refactoring effort. The mention of upgrading Java version also suggests that this is a configuration-related change."
33306,Fop - Now in Jira,Other,Updates to Apache XML Graphics Charter,"Small updates to Apache XML Graphics Charter. PATCH contains 3 files, current 'immutable' charter: XMLGraphicsProjectCharter: ApacheXMLGraphicsProjectCharter.txt (current) ApacheXMLGraphicsProjectCharterB.txt (Clay's mods) xmlgcharter.txt (diff -u ApacheXMLGraphicsProjectCharter.txt ApacheXMLGraphicsProjectCharterB.txt > xmlgcharter.txt",33306,APACHE,Configuration,"The bug report is related to configuration because it involves updates to the Apache XML Graphics Charter, which suggests changes to project settings or documentation."
37517,Lenya,Other,Document Creation Should Validate and Warn for Special Characters,Creating a new document with Document ID does:not_work will cause an exception (No resource type defined for document [default:authoring:/index/does:not_work]!) It seems that the validation is not implemented in 1.4 yet. Should it be done like in 1.2 with a javascript (function validateForm(theForm))?,37517,APACHE,Configuration,"The bug report mentions the validation of special characters and the implementation of a specific feature, which suggests that it is related to configuration settings or code modifications."
49065,APR,Other,[PATCH] Add support for apr_hash_this_*,"Created attachment 25242 [details] Patch to implement the apr_hash_index_* functions In using the apr_hash data structure in Subversion, we've found that we often only want the key or value from a hash. Furthermore, casting the various return parameters has proven cumbersome. To solve this problem, we've introduced three helper functions to return the key, key length, and value from a hash iterator. We've found these functions quite useful, so I'm including a patch to add them to APR proper. The patch is against trunk, but if possible, I'd like to see these APIs backported to 1.5.x. This patch was submitted to the mailing list several weeks ago, and received positive discussion but nobody committed it. I'm posting it here so that somebody eventually does commit it.",49065,APACHE,Configuration,"The bug report is related to configuration because the patch is intended to add support for apr_hash_this_* functions, which suggests a change in the APR (Apache Portable Runtime) library's configuration or functionality."
40404,Security - Now in JIRA,Other,Adding X509 subelements impotent for signing,"signature.addKeyInf(cert); signature.getKeyInfo().itemX509Data(0).addSubjectName(cert.getSubjectName().toString()); X509Certificate is found in signature, but no X509SubjectName. Same happens for X509IssuerSerial",40404,APACHE,Configuration,The bug report is related to configuration because it involves adding specific subelements (X509SubjectName and X509IssuerSerial) which are likely related to certificate configuration in the Security project. The mention of 'impotent for signing' also suggests a configuration issue.
688,Ant,Other,Depend task not in documentation,The Depend task is not included in the HTML manual,688,APACHE,Configuration,"The bug report is related to a missing feature (Depend task) in the project's documentation, which suggests it's a configuration issue."
604,Ant,Other,Description of VSS label task missing,"A description of the VSSLABEL task (which I wrote) is missing. You should be able to extract documenation for this from the javadoc, but if you need anything more, just let me know.",604,APACHE,Configuration,"The bug report is related to a missing description in the VSSLABEL task which suggests that it's a configuration issue, possibly due to incorrect setup or documentation."
71564,CDT,Other,TVT3.0: Missing link in CDT doc 'Debug Tutorial',"1. Go to C/C++ development User Guide 2. Expand ""Getting Started"" 3. Click on 'CDT Importing an Existing Project Tutorial' 4. Click 'Debugging Tutorial' The link cannot be found. See attached screenshot",https://bugs.eclipse.org/bugs/show_bug.cgi?id=71564,ECLIPSE,Configuration,"The bug report is related to a missing link in the CDT documentation, which suggests that it's a configuration issue. The description provides steps to reproduce the problem and mentions a specific tutorial, indicating that the issue might be due to incorrect or outdated configuration settings."
103173,CDT,Other,Register: user created register groups disappear after debug session restart,"Eclipse 3.1 + cdt 3.0 RC1 Start a debug session and create some register groups. Restart the debug session, all user created groups are gone.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=103173,ECLIPSE,Configuration,"The bug report is related to configuration because it involves changes in the debug session settings, specifically register groups disappearing after a restart. This suggests that there might be an issue with how the configuration is being saved or loaded."
118981,Community,Other,Fix bugs in Phoenix css files and add support for greyed-out left nav menu items,"While browsing through the Phoenix CSS, I discovered some missing commas and some missing class qualifiers. This patch fixes those, plus it adds a couple items for my upcoming project-specific left nav items (see bug 118282). Specifically, it adds support for left nav items that are greyed-out because the project does not support that item yet.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=118981,ECLIPSE,Other,"This bug report is related to a CSS issue in the Phoenix framework, which suggests it's more of a coding or implementation problem rather than a configuration one."
130384,Community,Other,"""Top Ten Voted Bugs"" should include RESOLVED/LATER","The ""Top Ten Voted Bugs"" should also include RESOLVED/LATER. In particular, the following bugs should be on the list: * bug 37154 - [Team] Support for subversion (93 votes) * bug 72487 - [Browser] Allow Firefox as browser widget (86 votes)",https://bugs.eclipse.org/bugs/show_bug.cgi?id=130384,ECLIPSE,Other,"This bug report is related to a feature enhancement or a specific requirement, rather than a configuration issue. The description mentions the need for a particular functionality in the 'Top Ten Voted Bugs' list, which suggests that it's about adding RESOLVED/LATER status to the list."
109220,Community,Other,Add new features to the timeline page,* Restricted time increment (right now it is hard coded,109220,ECLIPSE,Configuration,"The bug report ID and link are related to a specific issue, which suggests that it's a configuration-related problem. Additionally, the description mentions 'hard coded', indicating that there might be an issue with the configuration settings."
243559,Dali JPA Tools,Other,Exchanging entity objects contents when renaming a certain entity,"If I have a JPA project with two or more JPA entities in it and I rename one of the entities, the result is that not only the corresponding underlying GenericJavaPersistentType object is renamed, but all the GenericJavaPersistentType objects are renamed in random manner and in result all these objects are becoming some other objects - they've exchanged their names and attributes. It sounds a little bit unclear, so please follow the steps described below to reproduce it. 1. Start IDE 2. Create a new 'Eclipse application' debug configuration and start it 3. In the debugged IDE open Java EE perspective 4. Create a new JPA project 5. In the first open IDE, in org.eclipse.jpt.core.internal.context.java.GenericJavaPersistentType put a break point at the beginning of the method 'setName(...)' 6. Create two (or more) JPA entities in this project and memorize or write down the debug ids of the newly created GenericJavaPersistentType objects 7. In the project explorer right-click of one of the entities source and select 'Refactor->Rename' 8. Rename the chosen entity with some new valid name Result: You will notice that not only the selected entity is renamed, but all of the entities are renamed. Something more - they will be renamed randomly with the new and old names. At the end of this you will have a consistent set of GenericJavaPersistentType objects, but with exchanged names (and attributes) For example: Let's say that after creation we have two entities: E1 - debug id: 169 E2 - debug id: 184 After renaming E1 to E111 we will have: E111 - debug id: 184 E2 - debug id: 169 (E1 became E2 and E2 became E111) NOTE: Sometimes all the entities are renamed exactly in the way they have to be renamed E1 becomes E111 and E2 becomes E2, so you may have to repeat the steps with the other object to reproduce the problem. It's a big blocker for my work, because I'm implementing a software module, which requires the PersistentType objects to stay the way they are - not to ""become some other"" objects. I'll try to implement a JUnit test ASAP which catches the problem.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=243559,ECLIPSE,Configuration,"The bug report is related to configuration because it involves specific steps and settings in Eclipse IDE, such as creating a new 'Eclipse application' debug configuration, opening the Java EE perspective, and setting breakpoints in org.eclipse.jpt.core.internal.context.java.GenericJavaPersistentType. The issue seems to be caused by the interaction between the IDE's refactoring feature and the JPA project's configuration."
460657,ECP,Other,No Error on Missing View Model in Debug Mode,Missing view model in view model extension point in debug mode does not show any error.,https://bugs.eclipse.org/bugs/show_bug.cgi?id=460657,ECLIPSE,Configuration,"The bug report is related to a missing view model in the view model extension point, which suggests that it's an issue with how the configuration or setup of the environment is affecting the behavior. This indicates that the bug report is likely related to configuration."
268443,Java Server Faces,Other,FacesConfig Editor preferences page needs more info for screen readers,"Version: 3.4.1, Build ID: M20080911-1700 Steps To Reproduce: 1) Create a Web project with the JavaServer Faces configuration. 2) Open the Preferences dialog and go to Web -> JavaServer Faces Tools -> FacesConfig Editor. 3) If you tab around the options on this page, Window-Eyes 6.1 and Microsoft Inspect Objects don't have enough information to fully describe these controls. - ""Canvas"", ""Icons"" and ""Connection Lines"" (the section labels) are never read by the screen reader at all. - Background color & Grid Color (under Canvas) are read as just ""Color Selector"" (something like ""Grid Color - Color Selector"" would be more helpful so you know what color you're setting). The same problem exists with Label color & Line color under Connection Lines. - ""Label font: [label]"" under Connection Lines is never read. Only ""Change"" (the button label) is, so it's hard to know what this button will change. The same problem exists with ""Label font: [label]"" under Icons. These are accessibility issues.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=268443,ECLIPSE,Configuration,"The bug report is related to the FacesConfig Editor preferences page in Eclipse, which suggests a configuration issue with accessibility settings for screen readers."
27445,JDT,Other,[Dialogs] Dialog font should be used by jdt debug component,.,https://bugs.eclipse.org/bugs/show_bug.cgi?id=27445,ECLIPSE,Configuration,"The bug report is related to the Eclipse IDE, specifically JDT project, which suggests it's a configuration issue. The description mentions using a specific font in the debug component, indicating a customization or setting that needs to be adjusted."
496451,Titan,Other,"bugfix: CfgParser support for resolving environment variables, macros and include files","bugfix: CfgParser support for resolving environment variables, macros and include files This is used for generating temp cfg file",https://bugs.eclipse.org/bugs/show_bug.cgi?id=496451,ECLIPSE,Configuration,"The bug report is related to configuration because it involves resolving environment variables, macros and include files in the CfgParser, which suggests a direct impact on project settings or build processes."
100059,WPT Website,Other,Adding a bug reports page to the Web site,"Adding a bug reports page to the Web site. This page shows various interesting queries such as bugs that are resolved, but not verified.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=100059,ECLIPSE,Other,"The bug report is about adding a feature to the website and does not seem to be related to configuration issues, but rather a development task."
