Bug-ID;Project;Classification;Summary;Description;Link;Enviroment;Tags;Dataset
18372;Platform;Configuration;get rid of all fragment.properties in UI fragments;"All externalized strings for a fragment.xml (typically the fragment name and the provider name) must be placed in the plugin.properties file (!) of the corresponding plug-in. There is no such thing as a fragment.properties file. Here is an example that gives the general idea of it should look: in the org.eclipse.foo.win32 fragment fragment.xml <fragment id=""org.eclipse.foo.win32"" name=""%win32FragmentName"" provider-name=""%providerName"" version=""2.0.0"" plugin-id=""org.eclipse.foo"" plugin-version=""2.0.0"" /> in the org.eclipse.foo.linux fragment fragment.xml <fragment id=""org.eclipse.foo.linux"" name=""%linuxFragmentName"" provider-name=""%providerName"" version=""2.0.0"" plugin-id=""org.eclipse.foo"" plugin-version=""2.0.0"" /> in the org.eclipse.foo plug-in plugin.xml <plugin id=""org.eclipse.foo"" name=""%pluginName"" provider-name=""%providerName"" version=""2.0.0"" /> plugin.properties pluginName=Foo providerName=Eclipse.org win32FragmentName=Foo for Windows linuxFragmentName=Foo for Linux";18372;ECLIPSE;;NABATS
18965;Platform;Configuration;DBCS: DBCS file and path name;Build F2 on WindowsXP Japanese, WebDAV;18965;ECLIPSE;;NABATS
100059;Platform;Configuration;Adding a bug reports page to the Web site;Adding a bug reports page to the Web site. This page shows various interesting queries such as bugs that are resolved, but not verified.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=100059;ECLIPSE;;NABATS
283581;RTSC;Configuration;RTSC build profile should be set to 'whole_program_debug' in wizard page;"The ""RTSC Build-Profile"" combo box in the ""RTSC Configuration Settings Page"" of the (RTSC configuration) project wizard is set to 'debug' by default. It is suggested that the default value should be 'whole_program_debug'. The 'debug' profile was initially selected to provide a good build experience for new users of RTSC/BIOS6. To avoid the runtime overhead of the 'debug' profile be misconstrued as a performance overhead of RTSC by new users it is recommended that the default value of the build profile should be 'whole_program_debug'.";https://bugs.eclipse.org/bugs/show_bug.cgi?id=283581;ECLIPSE;;NABATS
164628;Target Management;Configuration;Unnecessary dependency of rse.ui -> debug.ui;The org.eclipse.rse.ui plugin has a dependency to org.eclipse.debug.ui, which is only needed in SystemPerspectiveLayout in order to add the debug action sets to the RSE perspective. The same can be accomplished by using the well-known (API) string constants from IDebugUIConstants, such that the dependency to debug.ui is not needed. This makes it possible to run RSE in a minmal installation without debug.ui. -----------Enter bugs above this line----------- RSE 1.0 Release Test installation : eclipse-SDK-3.2.1 RSE install : update-site RSE 1.0 complete java.runtime : Sun 1.5.0_08-b03 os.name: : Windows XP 5.1, Service Pack 1 ------------------------------------------------ systemtype : Windows-local, Dstore-win, Dstore-linux targetos : Red Hat Enterprise Linux WS release 4 (Nahant Update 3) targetuname : Linux parser 2.6.9-34.EL #1 i686 athlon i386 GNU/Linux targetvm : Sun Java HotSpot(TM) Client VM (build 1.4.2_12-b03, mixed mode) ------------------------------------------------;https://bugs.eclipse.org/bugs/show_bug.cgi?id=164628;ECLIPSE;;NABATS
127119;WTP Common Tools;Configuration;Facet actions sort does not termination for certain version change actions;Opened for Nicole, testing on an IBM product based on wtp 1.5 m5 from last week. I am experiencing a hang in the project facets wizard/dialog, when attempting to modify the server target of an EAR project. I initially created an web project and EAR and accidentally targetted a server. To modify it, I did the following: 1. opened the project facets properties page on the EAR 2. clicked add/remove 3. unchecked the existing runtime facets 4. selected the new runtime (older version) under the Runtimes pane 5. attempted to check the resulting project facets... ...and then the workbench hangs. I have to kill the workbench and I have been able to reproduce this atleast three times. I was unable to find a javacore dump or anything in the logs of use.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=127119;ECLIPSE;;NABATS
145875;WTP EJB Tools;Configuration;New UI plugin dependency introduced in WTP 1.5 model plugin;Hello, With WTP 1.5, com.ibm.etools.j2ee.ejb has a new dependency on org.eclipse.jst.j2ee.ejb.annotation.model, which has dependency on an UI plugin-in org.eclipse.wst.common.frameworks.ui com.ibm.etools.j2ee.ejb org.eclipse.jst.j2ee.ejb.annotation.model org.eclipse.wst.common.frameworks.ui Why is this UI plugin is introduced? This isn't the case for WTP 1.0. The new UI plugin dependency is causing my headless application to fail. Regards, Jack;https://bugs.eclipse.org/bugs/show_bug.cgi?id=145875;ECLIPSE;;NABATS
160562;WTP Java EE Tools;Configuration;[j2ee] EAR with J2EE modules in a directory fail to import properly;"I have an enterprise application that contains the following: <EAR> - lib - log4j.jar (static JAR file) - TestEJBApp.jar (EJB-JAR) - TestEJBApp2.jar (EJB-JAR) - TestEJBAppClient.jar (EJB Client project for TestEJBApp) The application.xml looks like the following for the 2 EJB-JAR entries: <module id=""EjbModule_1160599615850""> <ejb>lib/TestEJBApp.jar</ejb> </module> <module id=""EjbModule_1160599696967""> <ejb>lib/TestEJBApp2.jar</ejb> </module> The MANIFEST.MF for TestEJBApp has the following Class-Path: Class-Path: log4j-1.2.12.jar TestEJBApp2.jar The MANIFEST.MF for TestEJBApp2 has the following Class-Path: Class-Path: log4j-1.2.12.jar These Class-Path values *should* be correct as the corresponding JAR files (i.e. log4j) are in the same 'lib' directory as the two EJB-JARs when the application is exported as an EAR file. However, when I import this into WTP the build paths for these EJB modules are not constructed properly as it thinks that the log4j-1.2.12.jar should be in the 'lib' directory. Likewise, the build path for TestEJBApp does not contain the project reference to TestEJBApp2. I will attach an EAR which shows this problem - there will be no compilation errors (as there is no code) but you will notice that the project build paths are not setup correctly. This is a regression for an adopter product which now relies upon WTP 1.5 to perform this EAR import. Hot-bug request information 1. Affiliation: IBM 2. Release you want this bug to be fixed in: 1.5.2 3. Justify why this is a hot bug and why it needs to be fixed in that release: see above. If this problem can be solved for 1.5.2 could a patched class file (or files) be attached here so I can verify the fix? Thank you!";https://bugs.eclipse.org/bugs/show_bug.cgi?id=160562;ECLIPSE;;NABATS
249347;WTP Java EE Tools;Configuration;Make .JETEmitter project optional;+++ This bug was initially created as a clone of Bug #248274 +++ Currently in WTP we use JETEmitter to generate the code for the Java EE artifacts: servlets, EJB beans, etc. As a side effect a .JETEmitter project is created in the workspace. Although there is a filter that hides it in the Project Explorer view, users assume that the workspace folder on the hard drive is there own property and they do not expect any system project there. We have cases where users just delete the .JETEmitter project (see bug 247854) from outside Eclipse, which makes the workspace to be out of sync and causes problems with JET code generation. It would be nice if there is a way that the .JETEmitter project is not generated next to workspace projects, but hidden in the .metadata folder. +++ As discussed in bug 248274 it could be avoided having .JETEmitter project by statically compiling the JET templates.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=249347;ECLIPSE;;NABATS
83115;WTP Java EE Tools;Configuration;Workarounds need fixing for capability with Eclipse 3.1;"In order to get VE to compile and work successfully with Eclipse 3.1M4, the following changes were made: 1. org.eclipse.ve.java.core - plugin.xml - <extension point=""org.eclipse.ui.newWizards""> - commented out the statement: javatype=""true"" This was a warning in 3.0.1 but is now an error in 3.1. Not sure how to solve since the JDT still needs this a parameter in it's plugin extension. The effect is that ""Visual Class"" doesn't show in the dropdown list for the Class icon on the toolbar. 2. com.ibm.etools.emf.event - plugin.xml - <extension point=""org.eclipse.emf.ecore.generated_package""> factory=""com.ibm.etools.emf.event.impl.EventFactoryImpl"" is no longer needed for this extension point. I'm not sure the effect it has on the VE since the everything seemed to work okay after I commented this out. 3. JavaVisualEditorPart - added check for delete command ('org.eclipse.ui.edit.delete') because the following message shows in the .log file ""The command 'org.eclipse.ui.edit.delete' is not defined, but is being asked if it is active. Are you using an actionDefinitionId without defining a command?"". Not sure why this command is no longer returned from the CommandManager. Needs further investigation. These changes were released for now to allow VE to build so I could get some baseline performance measurements for Eclipse 3.1.";83115;ECLIPSE;;NABATS
83338;WTP Java EE Tools;Configuration;[perf]* BeaninfoClassAdapter should specify parser pool option;As discussed with Rich... It appears the cost of parsing is dramatically higher if no pool parser is provided (XMLResource.OPTION_USE_PARSER_POOL) and the default SAXParserFactory.newInstance() method is called. This cost can be reduced by providing one for the BeaninfoClassAdapter's resource set. See the stack trace below, stop by for a more coherent explanation (more details later. Thread [Worker-1] (Suspended (breakpoint at line 175 in XMLLoadImpl)) XMILoadImpl(XMLLoadImpl).makeParser() line: 175 XMILoadImpl(XMLLoadImpl).load(XMLResource, InputStream, Map) line: 90 XMIResourceImpl(XMLResourceImpl).doLoad(InputStream, Map) line: 155 XMIResourceImpl(ResourceImpl).load(InputStream, Map) line: 884 XMIResourceImpl(ResourceImpl).load(Map) line: 741 ProjectResourceSetImpl(ResourceSetImpl).demandLoad(Resource) line: 247 ProjectResourceSetImpl.demandLoad(Resource) line: 79 ProjectResourceSetImpl(ResourceSetImpl).demandLoadHelper(Resource) line: 262 ProjectResourceSetImpl(ResourceSetImpl).getResource(URI, boolean) line: 346 ProjectResourceSetImpl.getResource(URI, boolean) line: 239 BeaninfoClassAdapter$1.run(String) line: 549 BeaninfoPlugin.applyOverrides(IProject, String, String, JavaClass, ResourceSet, BeaninfoPlugin$IOverrideRunnable) line: 511 BeaninfoClassAdapter.applyExtensionDocTo(ResourceSet, JavaClass, String, String, String) line: 540 BeaninfoClassAdapter.applyExtensionDocument(boolean) line: 533 BeaninfoClassAdapter.introspect() line: 447 BeaninfoClassAdapter.introspectIfNecessary() line: 404 BeaninfoClassAdapter.introspectProperties() line: 683 BeaninfoClassAdapter.getEStructuralFeatures() line: 605 JavaClassImpl.getEStructuralFeatures() line: 351 JavaClassImpl(EClassImpl).getEAllStructuralFeaturesGen() line: 372 JavaClassImpl(EClassImpl).getEAllStructuralFeatures() line: 482 JavaClassImpl(EClassImpl).getEStructuralFeature(String) line: 629 XMIHelperImpl(XMLHelperImpl).getFeatureWithoutMap(EClass, String) line: 619 XMIHelperImpl(XMLHelperImpl).getFeature(EClass, String, String) line: 571 XMIHelperImpl(XMLHelperImpl).getFeature(EClass, String, String, boolean) line: 614 SAXXMIHandler(XMLHandler).getFeature(EObject, String, String, boolean) line: 2023 SAXXMIHandler(XMLHandler).setAttribValue(EObject, String, String) line: 1777 SAXXMIHandler.handleObjectAttribs(EObject) line: 147 SAXXMIHandler(XMLHandler).createObjectFromFactory(EFactory, String) line: 1346 SAXXMIHandler(XMLHandler).createObjectFromTypeName(EObject, String, EStructuralFeature) line: 1272 SAXXMIHandler(XMLHandler).createObject(EObject, EStructuralFeature) line: 1209 SAXXMIHandler(XMLHandler).handleFeature(String, String) line: 1048 SAXXMIHandler(XMLHandler).processElement(String, String, String) line: 448 SAXXMIHandler(XMIHandler).processElement(String, String, String) line: 65 SAXXMIHandler(XMLHandler).startElement(String, String, String) line: 431 SAXWrapper.startElement(String, String, String, Attributes) line: 75 SAXParser(AbstractSAXParser).startElement(QName, XMLAttributes, Augmentations) line: not available XMLDocumentScannerImpl(XMLDocumentFragmentScannerImpl).scanStartElement () line: not available XMLDocumentScannerImpl$ContentDispatcher (XMLDocumentFragmentScannerImpl$FragmentContentDispatcher).dispatch(boolean) line: not available XMLDocumentScannerImpl(XMLDocumentFragmentScannerImpl).scanDocument (boolean) line: not available XML11Configuration.parse(boolean) line: not available XML11Configuration.parse(XMLInputSource) line: not available SAXParser(XMLParser).parse(XMLInputSource) line: not available SAXParser(AbstractSAXParser).parse(InputSource) line: not available SAXParserImpl(SAXParser).parse(InputSource, DefaultHandler) line: not available XMILoadImpl(XMLLoadImpl).load(XMLResource, InputStream, Map) line: 129 XMIResourceImpl(XMLResourceImpl).doLoad(InputStream, Map) line: 155 XMIResourceImpl(ResourceImpl).load(InputStream, Map) line: 884 XMIResourceImpl(ResourceImpl).load(Map) line: 741 SpecialResourceSet(ResourceSetImpl).demandLoad(Resource) line: 247 SpecialResourceSet(ProjectResourceSetImpl).demandLoad(Resource) line: 79 SpecialResourceSet(ResourceSetImpl).demandLoadHelper(Resource) line: 262 SpecialResourceSet(ResourceSetImpl).getResource(URI, boolean) line: 346 SpecialResourceSet(ProjectResourceSetImpl).getResource(URI, boolean) line: 239 VEModelCacheUtility.doLoadFromCache(IVEModelInstance, IProgressMonitor) line: 99 VEModelInstance.createComposition() line: 100 JavaSourceTranslator.reConnect(IFile) line: 1095 JavaSourceTranslator.decodeDocument(IFile, IProgressMonitor) line: 916 JavaSourceTranslator.loadModel(IFileEditorInput, IProgressMonitor) line: 658 JavaVisualEditorPart$Setup.run(IProgressMonitor) line: 1564 Worker.run() line: 66;83338;ECLIPSE;;NABATS
104066;WTP Java EE Tools;Configuration;http://java.sun.com/xml/ns/j2ee/jsp_2_0.xsd does not have license associated;The resource http://java.sun.com/xml/ns/j2ee/jsp_2_0.xsd does not have a license associated. This resource is being cached without prompting the user for license acceptance. The license that should be associated with the resource is http://developers.sun.com/license/berkeley_license.html. This defect is critical for 0.7 as WTP does not have the rights to silently cache this schema.;104066;ECLIPSE;;NABATS
102173;WTP Java EE Tools;Configuration;Investigate Dependency graph builder as resource change listener;The dependency graph builder may be better off as a resource change listener. We need to look at implications either way.;102173;ECLIPSE;;NABATS
102947;WTP Java EE Tools;Configuration;EAR import does not place classes in correct location;When you import an EAR whose modules contain .class files, the .class files are either put into a source folder (e.g. in the case of appclient and EJB jars) or in an imported_classes folder (for Web). None of these folders are actual output folders so when new source is added into source folders and these are dependent on objects in the .class files, compile errors result. I will attach a service and a client EAR.;102947;ECLIPSE;;NABATS
159026;WTP Java EE Tools;Configuration;[j2ee] 'EAR Libraries' does not include JAR files in directories;JAR files included in any directory under 'EARContent' are not included in the 'EAR Libraries' classpath container. I have imported an EAR file that contains an EJB JAR file as well as a JAR file (log4j) that resides the 'lib' directory which the EJB JAR depends on. The MANIFEST.MF for the EJB JAR contains the following: Manifest-Version: 1.0 Class-Path: lib/log4j.jar The log4j.jar file is copied correctly to the EARContent\lib directory upon importing but the EJB project that is constructed does not contain log4j on the classpath (nor in the 'EAR Libraries' container). Upon further investigation I found that it was because the JAR file is not in the 'EARContent' directory, but rather it is in a sub-directory of the EARContent directory. If I move the log4j.jar from the 'EARContent\lib' directory to the 'EARContent' directory, fix up the MANIFEST.MF file (manually, due to bug 159017) then the log4j.jar is added to the 'EAR Libraries' container and therefore is on the classpath of my EJB project.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=159026;ECLIPSE;;NABATS
190198;WTP Java EE Tools;Configuration;[hotbug] JEE5 Web model does not update on changes in web.xml;"Steps to reproduce: 1. Create web 2.5 project. 2. Create a Servlet with name S1. 3. Delete the S1.java and S1.class files from the project. 4. Delete the definition of the S1 Servlet from web.xml. 5. Try to create again a Servlet with name S1. 6. The wizard cannot finish because ""The servlet display name already exists."". 7. Create a Servlet with name S2. 8. Now the web.xml is updated in a way that both S1 (not existing any more) and S2 servlets are defined. The conclusion from 6 and 8 is that the S1 servlet still exists in the Web 2.5 model, nevertheless it was deleted from the web.xml.";https://bugs.eclipse.org/bugs/show_bug.cgi?id=190198;ECLIPSE;;NABATS
195431;WTP Java EE Tools;Configuration;J2EEModuleVirtualComponent.getManifestReferences() performance;Build ID: WTP 1.5.4 Steps To Reproduce: 1. Import a large EAR file that contains around 250 projects (most are EJB). Each MANIFEST.MF file for each module contains a lot of entries (at least 50). 2. Call J2EEComponentClasspathUpdater.getInstance().forceUpdate(ejbProjects, false);https://bugs.eclipse.org/bugs/show_bug.cgi?id=195431;ECLIPSE;;NABATS
80594;WTP Releng;Configuration;SDK doesn't include other source files;The WTP SDK contains the Java source zips, but it is missing the rest of the source files specified in the build.properties of each plugin. For instance, org.eclipse.wst.internet.webbrowser adds it's schema to the source build, but this doesn't exist in the WTP SDK. We need to add these files to make it easier to use WTP builds and to help the user community. These files do appear in the Eclipse SDK.;80594;ECLIPSE;;NABATS
115959;WTP Releng;Configuration;"Two SDK ""source plugins"" mistakenly jarred";"Inspection of wtp-sdk-I200511110103 build reveals to ""source plugins"" mistakenly jarred up. This would not effect ""runnabilty"" of the build, but would limit developers use of it as an SDK build. The two components were rdb_ui and common_ui Specifically: org.eclipse.wst.common_ui.feature/sourceTemplateFeature/feature.xml org.eclipse.wst.rdb_ui.feature/sourceTemplateFeature/feature.xml I will committed the fixes to head and these should be released for next I-build.";115959;ECLIPSE;;NABATS
99849;WTP Webservices;Configuration;[arch] org.eclipse.wst.wsi mixes model and UI code;"The org.eclipse.wst.wsi mixes ""pure java"" and ""Eclipse UI"" code. While (most of) the Eclipse UI pre-reqs are listed as 'optional' (but not all) this mix makes it impossible to define a clear ""model vs. view"" feature definition. I'm marking as major, since this ""mix"" blocks correct feature definition and dependancies. (If I'm mis-interpreting this plugin, and it all really does belong as ""UI"", just let me know).";99849;ECLIPSE;;NABATS
146727;z_Archived;Configuration;Turn off the Execution framework debug;The Execution framework is printing debug messages. This has to be turned off. The change is simple and it involves setting the debug flag to false.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=146727;ECLIPSE;;NABATS
177026;z_Archived;Configuration;NLS33:plugins referenced by org.eclipse.wst.rdb_userdoc.feature is missing;"Build ID: wtp-rdb-M-1.5.3-200702080326.zip Steps To Reproduce: The following messages received for org.eclipse.wst.rdb_userdoc.feature_1.5.3.v200701251933--4hNDDhDrSIDSDf: Plug-in ""org.eclipse.wst.datatools.connection.ui.doc.user"" version ""1.0.203.v200608310305"" referenced by this feature is missing. Plug-in ""org.eclipse.wst.datatools.fe.ui.doc.user"" version ""1.0.203.v200608310305"" referenced by this feature is missing. Plug-in ""org.eclipse.wst.datatools.server.ui.doc.user"" version ""1.0.203.v200608310305"" referenced by this feature is missing. Plug-in ""org.eclipse.wst.sqleditor.doc.user"" version ""1.0.2.v200608310308"" referenced by this feature is missing. Plug-in ""org.eclipse.wst.datatools.data.ui.doc.user"" version ""1.0.203.v200608310305"" referenced by this feature is missing.";https://bugs.eclipse.org/bugs/show_bug.cgi?id=177026;ECLIPSE;;NABATS
183282;z_Archived;Configuration;bugs in tptp_decodeBase64();I tried using tptp_decodeBase64() (TPTPUtil/Base64.c) to decode several java .class files merged together and found that it doesn't work properly. Buffer size 904 bytes, encoded 1223 bytes, decoded by tptp 769 bytes. Decoded data looks OK in the beginning, then gets bad.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=183282;ECLIPSE;;NABATS
52505;z_Archived;Configuration;org.eclipse.hyades.test.* plugins missing in WSWB 3.0;The org.eclipse.hyades.test.* plugins are currently not packaged in WSWB 3.0 M7, if these plugins are required in WSWB 3.0 please make sure that are picked up by WSWB (Qiyan knows how to do this).;52505;ECLIPSE;;NABATS
71473;z_Archived;Configuration;EMF Java Example installed causes problem;"If the EMF Java Model examples (the one supplied by EMF, not JEM) is installed, it conflicts with the VE model because ""*.java"" extension is registered by them and it creates a JavaResourceImpl instead of the default XMIResourceImpl. This doesn't work for us.";71473;ECLIPSE;;NABATS
78980;z_Archived;Configuration;coredump while parsing optHeap on ThreeTierQueues applet;"In BlueRat, when profiling with ""Memory Leak Analysis - Manual heap dumps"" on an applet, if you take one or more optimized heap dumps, the piAgent crashes while processing the dumps. This happens only when the applet is running with the IBM SOV jvm. The other jvms, J9 and HotSpot, do not exhibit the crash. Details: I ran this with a debug version of piAgent.dll today and the failure is happening here: strlen() line 78 PIAGENT! 01c1be2a() line 406 + 9 bytes PIAGENT! 01c1e85f() line 192 + 44 bytes PIAGENT! 01c1e399() line 60 + 16 bytes PIAGENT! 01c1cb23() line 764 + 37 bytes PIAGENT! 01c0e6d4() line 2141 + 33 bytes PIAGENT! 01c0de79() line 2377 + 34 bytes JVM! 1003f839() The 2nd entry from the top of the stack seems to be the following line in StatelessHeapSnapshotManager_C.cpp: traceWriteString(className, strlen(className))";78980;ECLIPSE;;NABATS
78981;z_Archived;Configuration;coredump while parsing optHeap on ThreeTierQueues applet;3.0.2 placeholder for bug 78980.;78981;ECLIPSE;;NABATS
83579;z_Archived;Configuration;Version mismatch in org.eclipse.hyades.models.hierarchy feature and plugin;The feature references version 3.0.1 of org.eclipse.hyades.models.hierarchy, but the plugin is now 3.0.2. The feature needs to be updated ASAP - got someone waiting on the fix.;83579;ECLIPSE;;NABATS
85042;z_Archived;Configuration;Trace loaders don't work in the 4.0 environment;I took the latest TPTP 4.0 build and tried to profile the PerformanceExample application. I get no data to the UI and if I save the agent, the xmi file is empty. I do get data when I profile to file so the agent does send data to the loaders. I have the same problem when I try to import an xml profiling file This is blocking our Monday morning test pass and it should be fixed asap;85042;ECLIPSE;;NABATS
109800;z_Archived;Configuration;[Platform Specific] The automation framework has issues on non-Windows platforms;There are some window-isms found in the TPTP automation framework introduced in TPTP 3.3 and 4.0 as provisonal. o The out-of-process strategy has eclipse.exe and \\ hard-coded, eclipse.exe should be changed to just eclipse and \\ shold be File.separator o There might be other issues, a complete end-to-end in a non-Windows environment has not be successfully completed A downstream product has found these issues while using TPTP 3.3.;109800;ECLIPSE;;NABATS
110369;z_Archived;Configuration;libpiAgent.so missing from z/OS Agent Controller zip due to build error;"libpiAgent.so missing from the latest z/OS Agent Controller zip due to the following build error: cxx -W c,NOSEARCH,CSECT -W c,NOLOCALE,LANGLVL\(EXTENDED\) -W c,LONGNAME -W c,DLL,EXPORTALL -W c,TARGET\(OSV2R10\),XPLINK -O -Wc,""CONVLIT(ISO8859-1)"" - D_OPEN_SYS -DENW -D_XOPEN_SOURCE_EXTENDED=1 -DSQLUNIX=1 -DMVS=1 - D_OPEN_THREADS -D_ALL_SOURCE -I./framework/HCLauncher -I./framework/RABindings - I./framework/RACommon -I./framework/RADataTransfer -I./framework/RAServer - I./framework/RAServerConfig -I./framework/RAServerTypes - I./framework/RASharedMemory -I./framework/RASocket -I./../cbe/cImpl - I../../depends/java/include -I../../depends/java/include/os390 - I../../depends/xercesc/include -c collectors/native/java_profiler/StatelessHeapSnapshotManager_C.cpp -o collectors/native/java_profiler/StatelessHeapSnapshotManager_C.o ""./collectors/native/java_profiler/../heapsnapshots/StatelessHeapSnapshotManager .h"", line 23.11: CBC1090(S) Syntax error - expected ""type name"" and found ""bool"". ""./collectors/native/java_profiler/../heapsnapshots/StatelessHeapSnapshotManager .h"", line 42.12: CBC1320(S) Syntax error - found ""bool _optHeapDebug"" : ""bool"" is not a type name. ""./collectors/native/java_profiler/../heapsnapshots/StatelessHeapSnapshotManager .h"", line 18.7: CBC1222(S) ""StatelessHeapSnapshotManager"" needs a constructor because base class ""AbstractHeapSnapshotManager"" needs a constructor initializer. ""./collectors/native/java_profiler/StatelessHeapSnapshotManager_C.cpp"", line 36.13: CBC1263(S) Syntax error - expected """;110369;ECLIPSE;;NABATS
110882;z_Archived;Configuration;zOS: manual build of the piAgent/RAC fails - initial c89 compile exits with code 137;"The zOS manual build of the piAgent and RAC fails on the initial c89 compile (although the master build is still working). The initial compile ends with no output and just the make message: ""make[1]: *** [framework/RACommon/RAComm.o] Killed"". When running c89 directly (ie: same environment but outside of make), the compile exits with a return code of 137 (ENOTTY if that's an errno). This hit a couple of developers in the past two weeks but just hit the build team this afternoon (it had been working for them this morning). It can be reproduced in a CVS snapshot that had previously built successfully suggesting that the problem is environmental. The owner of the underlying build environment (upon which the TPTP zOS build depends) is looking into it now. The actual failing compile in the make is as follows: Compile framework/RACommon/RAComm.c c89 -W c,SO,SSCOMM,NOSEARCH,CSECT -W c,NOLOCALE,LANGLVL\(EXTENDED\) -W c,RENT,LONGNAME -W c,DLL,EXPORTALL -W c,TARGET\(OSV2R10\),XPL INK -O - D_OPEN_SYS -DENW -D_XOPEN_SOURCE_EXTENDED=1 -DSQLUNIX=1 -DMVS=1 - D_OPEN_THREADS -D_ALL_SOURCE -I./framework/HCLauncher - I. /framework/RABindings -I./framework/RACommon -I./framework/RADataTransfer - I./framework/RAServer -I./framework/RAServerConfig -I./fr amework/RAServerTypes -I./framework/RASharedMemory -I./framework/RASocket - I./../cbe/cImpl -I../../depends/java/include -I../../depe nds/java/include/os390 -I../../depends/xercesc/include -c framework/RACommon/RAComm.c -o framework/RACommon/RAComm.o make[1]: *** [framework/RACommon/RAComm.o] Killed make: *** [all] Error 2";110882;ECLIPSE;;NABATS
111230;z_Archived;Configuration;Agent Controller in 4.0.1 configuration incorrect due to plugin jar name change;The name of the org.eclipse.core.runtime plugin jar packaged with the Agent Controller has changed due to the version upgrade from 3.1.0 to 3.1.1. For example the new name is: org.eclipse.core.runtime_3.1.1.jar However, the Agent Controller SetConfig configuration class adds the jar to the CLASSPATH with the old name org.eclipse.core.runtime_3.1.0.jar. This causes the Agent Controller file transfer functionality to fail because it depends on classes in org.eclipse.core.runtime. This in turn causes operations like Log Import with filters to fail. The Agent Controller SetConfig class for 4.0.1 needs to be updated with the new jar file name. This problem was found with the TPTP 4.0.1 200509281716 driver.;111230;ECLIPSE;;NABATS
112221;z_Archived;Configuration;Broken link in on-line navigation tree;"The following link is broken in the on-line help: Help > Help Contents > TPTP Tester guide > Common testing tasks and concepts > Tutorial: creating a datapool driven test application Because this link worked in the development driver, this must be a problem with build.properties. The doc cannot be viewed in a production driver, hence this defect is blocking the Test.Doc test suite ""Review"" test case.";112221;ECLIPSE;;NABATS
113234;z_Archived;Configuration;Statistical Agents do not work through the IAC;None of the statistical agents work through the IAC. Agents are created using the ConnectUtil class with a localhost:-1 host:port configuration. Launching of the process fails (the process never becomes active). No exceptions are thrown. I've had a look around and this might have to do with the agent binaries not being built and distributed in the runtime set of plugins.;113234;ECLIPSE;;NABATS
113601;z_Archived;Configuration;Attachment viewing in Test Log Viewer doesn't work for .JPG files;When the attachment files in Test log are of type .JPG, click on Open button in Test log viewer gives an error message. Screen shot of the error message is following.;113601;ECLIPSE;;NABATS
113964;z_Archived;Configuration;Update legal doc for log4J;The Apache log4J plug-in's internal structure was recently changed to fix a defect, and the about.html needs to be updated to reflect this new internal structure. This is a legal stop-ship for TPTP 4.1, but not for TPTP 4.1 i2. I've sent the email to Adrian to ask him to update the file for us, and when I have a new copy then I'll attach it to this bugzilla.;113964;ECLIPSE;;NABATS
114263;z_Archived;Configuration;(New AC) Default setting for TPTP_AC_HOME in serviceconfg.xml is bad;Setting TPTP_AC_HOME inside serviceconfig.xml as a default is bad because it replaces a TPTP_AC_HOME that might exist in the shell environment, resulting in the following situation: If an agent cannot find the config file (which it wonâ€™t unless a user has modified the TPTP_AC_HOME setting inside the serviceconfig.xml correctly) it defaults to using the old hardcoded connection names. The AC however, may have used the TPTP_AC_HOME as defined in the shell env to find the serviceconfig.xml, and it is successful â€“ so it reads the connection names specified in the config names â€“ which do NOT match the old hardcoded connection names. Now â€“ the Agents will be attempting to register with the AC using the wrong connection names. But the AC is blissfully unaware of all the failed attempts as it listens on a different connection name.;114263;ECLIPSE;;NABATS
114549;z_Archived;Configuration;[Webdoc] (README) Cannot use IAC in multiple instances of the Eclipse workbench;Build: Oct 28, 2005 - Ensure that the agent controller is NOT running. - Start the Eclipse workbench - Run a runtime Eclipse workbench - Setup a launch configuration item for an external java application in both workbench. I was using the class that is attached to this bug report - Profile the application in both instances of the workbench Notice that the application is profiled correctly in the first workbench but fails in the second instance. There is also a zombie java process created that is never terminated.;114549;ECLIPSE;;NABATS
