Bug-ID;Project;Classification;Summary;Description
CC66;Apache httpd;Configuration;astCGI: incomplete headers (0 bytes) received from server;astCGI: incomplete headers (0 bytes) received from server
CC67;Apache httpd;Configuration;Error Start Apache “php value”;Error Start Apache “php value”
CC68;Apache httpd;Configuration;Apache configuration error (AH00025): couldn't check user;Apache configuration error (AH00025): couldn't check user
CC69;Others;Configuration;Configuration error: System.Web.Helpers;Configuration error: System.Web.Helpers
CC70;Others;Configuration;intellij - spring is not being recognized (Unmapped Spring configuration);intellij - spring is not being recognized (Unmapped Spring configuration)
CC71;Nginx;Configuration;nginx webdav could not open collection;nginx webdav could not open collection
CC72;Nginx;Configuration;"nginx: [emerg] unknown directive ""proxy_pass""";"nginx: [emerg] unknown directive ""proxy_pass"""
CC73;Others;Configuration;Configuration problem: Unable to locate Spring NamespaceHandler for XML schema namespace;Configuration problem: Unable to locate Spring NamespaceHandler for XML schema namespace
CC74;Others;Configuration;Hibernate validator doesn't work;Hibernate validator doesn't work
CC75;PostgreSQL;Configuration;Unable to connect app to postgres server using yaml files;Unable to connect app to postgres server using yaml files
CC76;Others;Configuration;conflicting with the dependencies;conflicting with the dependencies
CC77;Others;Configuration;add spring-boot-starter-oauth2-resource-server dependency in your project;add spring-boot-starter-oauth2-resource-server dependency in your project
CC78;MySQL;Configuration;related to the MySQL version with others;related to the MySQL version with others
CC79;Others;Configuration;wrong version;wrong version
CC80;Others;Configuration;add one dependency;add one dependency
CC81;Others;Configuration;the parameter MODE worked for OP， have to change configuration;the parameter MODE worked for OP, have to change configuration
CC82;MySQL;Configuration;software version is outdated;software version is outdated
CC83;MySQL;Configuration;missing one of the MySQL development package;missing one of the MySQL development package
CC84;Others;Configuration;proper versions of jdk and spring. It is a common pitfall for people to jump into the latest versions;proper versions of jdk and spring. It is a common pitfall for people to jump into the latest versions
CC85;Nginx;Configuration;different directories of components should be same;different directories of components should be same
CC86;Others;Configuration;add and remove some dependencies;add and remove some dependencies
CC87;MySQL;Configuration;related to the version of the jdbc driver.;related to the version of the jdbc driver.
CC88;PHP;Configuration;change php version 7 to 8;change php version 7 to 8
CC89;PHP;Configuration;wrong PHP version;wrong PHP version
CC90;PHP;Configuration;update PHP version;update PHP version
CC91;Nginx;Configuration;update Nginx version;update Nginx version
CC92;PHP;Configuration;update PHP version;update PHP version
CC93;PHP;Configuration;missing librariy;missing librariy
CC94;PHP;Configuration;version mismatch;version mismatch
CC95;Nginx;Configuration;downgrading Nginx to 1.18.0;downgrading Nginx to 1.18.0
CC96;Nginx;Configuration;using Nginx as a reverse proxy, after making sure that the port is open on your container, just let Nginx handle the SSL and don't configure it again;using Nginx as a reverse proxy, after making sure that the port is open on your container, just let Nginx handle the SSL and don't configure it again
CC97;Nginx;Configuration;version did not match;version did not match
CC98;Others;Configuration;version did not match, java 18;version did not match, java 18
CC99;Hadoop;Configuration;missing component;missing component
CC100;Hadoop;Configuration;update spark;update spark
CC101;Nginx;Configuration;http/1.0 per default, and curl uses http/1.1;http/1.0 per default, and curl uses http/1.1
CC102;Others;Configuration;Puppet installs too many dependencies;Puppet installs too many dependencies
CC103;Apache httpd;Configuration;duplicated my PHP configuration in the httpd.conf file and in httpd-php.conf;duplicated my PHP configuration in the httpd.conf file and in httpd-php.conf
CC104;Hadoop;Configuration;do not have component as dependency;do not have component as dependency
CC105;Hadoop;Configuration;hadoop dose not support java 17;hadoop dose not support java 17
CC106;Hadoop;Configuration;hadoop dose not support java 17;hadoop dose not support java 17
CC107;Hadoop;Configuration;miss slf4j-simple jar ;miss slf4j-simple jar 
CC108;MySQL;Configuration;module is typically used in Unix-like systems;module is typically used in Unix-like systems
CC109;MySQL;Configuration;in MAC multiple relays that encrypt data and generate temporary IP addresses which mess things up;in MAC multiple relays that encrypt data and generate temporary IP addresses which mess things up
CC110;Others;Configuration;miss components;miss components
CC111;Others;Configuration;miss components;miss components
CC112;Others;Configuration;at least Java 17.;at least Java 17.
CC113;Others;Configuration;miss components;miss components
CC114;MySQL;Configuration;docker maps a wrong port to mysql;docker maps a wrong port to mysql
CC115;MySQL;Configuration;MYSQL_USER=root for your database environment and can create conflicts for the root user;MYSQL_USER=root for your database environment and can create conflicts for the root user
CC116;Nginx;Configuration;"proxy_pass  http://172.17.0.1:49321/foobar;    with the path of other component";"proxy_pass  http://172.17.0.1:49321/foobar;    with the path of other component"
CC117;PostgreSQL;Configuration;Cyrillic letters cannot be converted to that encoding.;Cyrillic letters cannot be converted to that encoding.
CC118;Others;Configuration;miss components;miss components
CC119;MYSQL;Configuration;set autocommit = 1 to align the MySQL value with PDO's value;set autocommit = 1 to align the MySQL value with PDO's value
CA1;MySQL;Configuration;mysql not starting error usr sbin mysqld unknown option query cache si;mysql not starting error usr sbin mysqld unknown option query cache si
CA2;PHP;Configuration; I can't get any error into log file or screen.; I can't get any error into log file or screen.
CA3;Others;Configuration;Lighttpd wrong config file syntax;Lighttpd wrong config file syntax
CA4;Others;Configuration;flask, lighttpd with fastcgi can't get it to work;flask, lighttpd with fastcgi can't get it to work
CA5;Nginx;Configuration;Go(lang) with nginx - Serving Static Files;Go(lang) with nginx - Serving Static Files
CA6;Apache httpd;Configuration;why does my rewritecond match even though the pattern clearly doesnt match;why does my rewritecond match even though the pattern clearly doesnt match
CA7;Apache httpd;Configuration;Incorrect syntax for Apache If expressions with mod_macro;Incorrect syntax for Apache If expressions with mod_macro
CA8;Apache httpd;Configuration;"cannot attached ProxyPass within section, it gives error "">>> ProxyPass cannot occur within section""";"cannot attached ProxyPass within section, it gives error "">>> ProxyPass cannot occur within section"""
CA9;PostgreSQL;Configuration;Remote PostgreSQL connection with pgAdmin;Remote PostgreSQL connection with pgAdmin
CA10;Hadoop;Configuration;error while starting namenode and datanode;error while starting namenode and datanode
CA11;Others;Configuration;"Spring Security 5 : There is no PasswordEncoder mapped for the id ""null""";"Spring Security 5 : There is no PasswordEncoder mapped for the id ""null"""
CA12;Others;Configuration;Where HDFS stores data;Where HDFS stores data
CA13;Nginx;Configuration;Nginx Magento configuration index.php cyclic error;Nginx Magento configuration index.php cyclic error
CA14;MySQL;Configuration;MySQL: setting time_zone in my.cnf options file;MySQL: setting time_zone in my.cnf options file
CA15;Others;Configuration;How to enable configSource attribute for Custom Configuration Section in .NET?;How to enable configSource attribute for Custom Configuration Section in .NET?
CA16;Others;Configuration;ASP.NET site map configuration error;ASP.NET site map configuration error
CA17;Apache httpd;Configuration;Apache ProxyPass error;Apache ProxyPass error
CA18;Others;Configuration;Grails log4j configuration - ERROR Method missing when configuring log4j: logger;Grails log4j configuration - ERROR Method missing when configuring log4j: logger
CA19;Others;Configuration;.NET 3.5 - Configuration system failed to initialize exception;.NET 3.5 - Configuration system failed to initialize exception
CA20;Others;Configuration;Configuration Error;Configuration Error
CA21;Others;Configuration;How to configure Spring without persistence.xml?;How to configure Spring without persistence.xml?
CA22;Nginx;Configuration;NGINX Configuration Error using Codex Example: Is This a Typo in Codex?;NGINX Configuration Error using Codex Example: Is This a Typo in Codex?
CA23;Nginx;Configuration;nginx proxy configuration error (config syntax);nginx proxy configuration error (config syntax)
CA24;Nginx;Configuration;How to use nested Nginx location blocks (prefixes vs. regex directives)?;How to use nested Nginx location blocks (prefixes vs. regex directives)?
CA25;Nginx;Configuration;nginx redirect with proxy_pass;nginx redirect with proxy_pass
CA26;Nginx;Configuration;django, nginx, gunicorn 404 on any other page than the root;django, nginx, gunicorn 404 on any other page than the root
CA27;Nginx;Configuration;Running more than two web applications on nginx;Running more than two web applications on nginx
CA28;Others;Configuration;Do I need to escape backslash in a config file?;Do I need to escape backslash in a config file?
CA29;Apache httpd;Configuration;mod_rewrite and double slash issue;mod_rewrite and double slash issue
CA30;Apache httpd;Configuration;PHP Syntax Error On Apache 2.4.3 and PHP 5.4.7 (foreach template syntax) [closed];PHP Syntax Error On Apache 2.4.3 and PHP 5.4.7 (foreach template syntax) [closed]
CA31;Others;Configuration;"The ""&"" character breaks passwords that are stored in the web.config";"The ""&"" character breaks passwords that are stored in the web.config"
CA32;Others;Configuration;Barman geo-redundancy configuration error;Barman geo-redundancy configuration error
CA33;Others;Configuration;Error Loading JSON from configuration file using ConfigParser;Error Loading JSON from configuration file using ConfigParser
CA34;Others;Configuration;Inno Setup parameter with quotes in [Run] section;Inno Setup parameter with quotes in [Run] section
CA35;MySQL;Configuration;mysql .my.cnf not reading credentials properly?;mysql .my.cnf not reading credentials properly?
CA36;Others;Configuration;Can I use SPACE as mapleader in VIM?;Can I use SPACE as mapleader in VIM?
CA37;Nginx;Configuration;nginx 500 error instead of 404;nginx 500 error instead of 404
CA38;MySQL;Configuration;datetime format changed between mysql 5 0 and 5 1;datetime format changed between mysql 5 0 and 5 1
CA39;Others;Configuration;Add MIME mapping in web.config for IIS Express;Add MIME mapping in web.config for IIS Express
CA40;Apache httpd;Configuration;Apache Syntax Error;Apache Syntax Error
CA41;Others;Configuration;"nginx the ""ssl"" directive is deprecated, use the ""listen ... ssl""";"nginx the ""ssl"" directive is deprecated, use the ""listen ... ssl"""
CA42;Apache httpd;Configuration;can't have my virtualhosts working properly in Apache;can't have my virtualhosts working properly in Apache
CA43;PostgreSQL;Configuration;pg_bulkload error: “FATAL: unrecognized configuration parameter ”wal_level“”;pg_bulkload error: “FATAL: unrecognized configuration parameter ”wal_level“”
CA44;PostgreSQL;Configuration;unrecognized configuration parameter “autocommit” in PostgreSQL NodeJS;unrecognized configuration parameter “autocommit” in PostgreSQL NodeJS
CA45;PostgreSQL;Configuration;Could not access file “pglogical” while trying to install pglogical;Could not access file “pglogical” while trying to install pglogical
CA46;Nginx;Configuration;can't connect to mysql in playframework;can't connect to mysql in playframework
CA47;Apache httpd;Configuration;Apache Virtual Host Issue;Apache Virtual Host Issue
CA48;Apache httpd;Configuration;Jenkins under Apache httpd sometimes switches from SSL to plain HTTP;Jenkins under Apache httpd sometimes switches from SSL to plain HTTP
CA49;Apache httpd;Configuration;Cannot set up suPHP with puppetlabs/apache on centos 6.5;Cannot set up suPHP with puppetlabs/apache on centos 6.5
CA50;Nginx;Configuration;How to set up nginx in ubuntu with virtualbox;How to set up nginx in ubuntu with virtualbox
CA51;Apache httpd;Configuration;Apache 2 restart fails;Apache 2 restart fails
CA52;Nginx;Configuration;zlib.output_compression = On  interfering;zlib.output_compression = On  interfering
CA53;PostgreSQL;Configuration;Rails cannot establish a Postgres connection;Rails cannot establish a Postgres connection
CA54;Hadoop;Configuration;NodeManager NameNode ResourceManager DataNode SecondaryNameNode not running;NodeManager NameNode ResourceManager DataNode SecondaryNameNode not running
CA55;Nginx;Configuration;Unknown error nginx;Unknown error nginx
CA56;Nginx;Configuration;"[warn]: duplicate MIME type ""text/html"" in /etc/nginx/nginx.conf:25";"[warn]: duplicate MIME type ""text/html"" in /etc/nginx/nginx.conf:25"
CA57;Nginx;Configuration;"*1 FastCGI sent in stderr: ""Primary script unknown"" while reading response header from upstream";"*1 FastCGI sent in stderr: ""Primary script unknown"" while reading response header from upstream"
CA58;Nginx;Configuration;Nginx 1.8 Configuration Problems;Nginx 1.8 Configuration Problems
CA59;Apache httpd;Configuration;What is wrong with my httpd.conf file?;What is wrong with my httpd.conf file?
CA60;Nginx;Configuration;NGINX cache error: conflicts with already declared size 0 in /etc/nginx/nginx.conf;NGINX cache error: conflicts with already declared size 0 in /etc/nginx/nginx.conf
CA61;Apache httpd;Configuration;how to diagnose dns virtual domain 404s;how to diagnose dns virtual domain 404s
CA62;Apache httpd;Configuration;httpd overwrite conf file directive with conf.d directive;httpd overwrite conf file directive with conf.d directive
CA63;PHP;Configuration;PHP-FPM 7.1 not accepting config parameters in Docker;PHP-FPM 7.1 not accepting config parameters in Docker
CA64;Apache httpd;Configuration;500 error after creating htpasswd and edit htaccess;500 error after creating htpasswd and edit htaccess
CA65;Apache httpd;Configuration;trying to setup a site with static HTML with Apache, but get 500 rather than 404;trying to setup a site with static HTML with Apache, but get 500 rather than 404
CA66;Apache httpd;Configuration;Apache not responding to configuration changes;Apache not responding to configuration changes
CA67;Nginx;Configuration;"nginx: [emerg] ""worker_processes"" directive is not allowed here in /etc/nginx/sites-enabled/default:1 nginx";"nginx: [emerg] ""worker_processes"" directive is not allowed here in /etc/nginx/sites-enabled/default:1 nginx"
CA68;Others;Configuration;Custom App.config section causing configuration load error;Custom App.config section causing configuration load error
CA69;Others;Configuration;Avoid web.config inheritance in child web application using inheritInChildApplications;Avoid web.config inheritance in child web application using inheritInChildApplications
CA70;Nginx;Configuration;Use Nginx as Reverse Proxy for multiple servers;Use Nginx as Reverse Proxy for multiple servers
CA71;Nginx;Configuration;Nginx + configuration error;Nginx + configuration error
CA72;PHP;Configuration;Switching from MPM Worker to Event with PHP-FPM;Switching from MPM Worker to Event with PHP-FPM
CA73;MySQL;Configuration;How to fix: mysql: [ERROR] Found option without preceding group in config file /etc/mysql/my.cnf?;How to fix: mysql: [ERROR] Found option without preceding group in config file /etc/mysql/my.cnf?
CA74;MySQL;Configuration;percona and mysql audit;percona and mysql audit
CA75;PostgreSQL;Configuration;the earlier line win, move a  config;the earlier line win, move a  config
CA76;PHP;Configuration;PHP post_max_size vs upload_max_filesize;PHP post_max_size vs upload_max_filesize
CA77;MySQL;Configuration;read_buffer_size can break your replication;read_buffer_size can break your replication
CA78;Apache httpd;Configuration;virtual domain redirection working only partially with apache 2 2;virtual domain redirection working only partially with apache 2 2
CA79;PHP;Configuration;file size exceeded the maximum size permitted phpmyadmin;file size exceeded the maximum size permitted phpmyadmin
CA80;MySQL;Configuration;missing the initial / character   ;missing the initial / character   
CA81;Nginx;Configuration;reconfigure SSL;reconfigure SSL
CA82;Nginx;Configuration;wrong configuration: advanced nginx http to https redirect;wrong configuration: advanced nginx http to https redirect
CA83;Others;Configuration; without any error message, wrong name; without any error message, wrong name
CA84;PHP;Configuration;wrong syntax;wrong syntax
CA85;PHP;Configuration;unclosed parentheses;unclosed parentheses
CA86;Apache httpd;Configuration;missing /;missing /
CA87;Nginx;Configuration;wrong position;wrong position
CA88;Nginx;Configuration;configuration file name override;configuration file name override
CA89;Nginx;Configuration;missing  /;missing  /
CA90;Nginx;Configuration;duplicate =;duplicate =
CA91;Nginx;Configuration;typo  && func;typo  && func
CA92;Nginx;Configuration;typo ;typo 
CA93;Nginx;Configuration;configuration it has a duplicate rule;configuration it has a duplicate rule
CA94;PostgreSQL;Configuration;typo for wrong name;typo for wrong name
CA95;PostgreSQL;Configuration;"wrap your ENV[""POSTGRES_PASSWORD""] with <%= ... %>";"wrap your ENV[""POSTGRES_PASSWORD""] with <%= ... %>"
CA96;Hadoop;Configuration;In spark-submit the jars needed to be included before the script;In spark-submit the jars needed to be included before the script
CA97;Nginx;Configuration;$backend2 wrong position;$backend2 wrong position
CA98;Nginx;Configuration;nginx config is read top bottom with first match, add blog part upper in the site config;nginx config is read top bottom with first match, add blog part upper in the site config
CA99;Nginx;Configuration;missing /;missing /
CA100;Nginx;Configuration;file upload limit;file upload limit
CA101;PHP;Configuration;wrong URL (phpinfo);wrong URL (phpinfo)
CA102;Nginx;Configuration; cannot use both ipv6only=off and ipv6only=on; cannot use both ipv6only=off and ipv6only=on
CA103;Nginx;Configuration;There should not have a space;There should not have a space
CA104;MySQL;Configuration;Quotes are not special characters;Quotes are not special characters
CA105;Nginx;Configuration;default configuration should be removed;default configuration should be removed
CA106;Nginx;Configuration;default configuration should be removed;default configuration should be removed
CA107;Nginx;Configuration;Nginx rate limiting reuse;Nginx rate limiting reuse
CA108;Nginx;Configuration;"proxy_pass set with https and proxy_ssl_server_name on;";"proxy_pass set with https and proxy_ssl_server_name on;"
CA109;PostgreSQL;Configuration;max_function_args is read-only;max_function_args is read-only
CA110;PHP;Configuration;default configuration should be removed;default configuration should be removed
CA111;PostgreSQL;Configuration;max connections;max connections
CD1;MySQL;Configuration;mysql server running only on unix socket;mysql server running only on unix socket
CD2;MySQL;Configuration;mysql not accepting connections from wp(WordPress);mysql not accepting connections from wp(WordPress)
CD3;MySQL;Configuration;how to speed up a mysql import;how to speed up a mysql import
CD4;MySQL;Configuration;error 2006 hy000 at line 149351 mysql server has gone away;error 2006 hy000 at line 149351 mysql server has gone away
CD5;MySQL;Configuration;mysql shut down it self periodically;mysql shut down it self periodically
CD6;MySQL;Configuration;MySQL Database Restore error;MySQL Database Restore error
CD7;MySQL;Configuration;MySQL multi level replication breaks constantly;MySQL multi level replication breaks constantly
CD8;MySQL;Configuration;mysql hangs up the server how to avoid this;mysql hangs up the server how to avoid this
CD9;MySQL;Configuration;mysql 5 0 5 1 upgrade table upgrades taking a very long time;mysql 5 0 5 1 upgrade table upgrades taking a very long time
CD10;MySQL;Configuration;datadump fails with exit code 1;datadump fails with exit code 1
CD11;MySQL;Configuration;mysql 5 1 69 at centos 6 4 doesnt know enable named pipe;mysql 5 1 69 at centos 6 4 doesnt know enable named pipe
CD12;MySQL;Configuration;mysql died during the night on a 12 04 1 ubuntu;mysql died during the night on a 12 04 1 ubuntu
CD13;MySQL;Configuration;mysql failed to start error 1053 windows server 2008 r2;mysql failed to start error 1053 windows server 2008 r2
CD14;MySQL;Configuration;mysql odbc issue data source name not found and no default driver specified;mysql odbc issue data source name not found and no default driver specified
CD15;MySQL;Configuration;ubuntu 12 04 mysql 5 5 24 crashes everyday;ubuntu 12 04 mysql 5 5 24 crashes everyday
CD16;MySQL;Configuration;files in mysql data folder;files in mysql data folder
CD17;MySQL;Configuration;mysql max allowed packet greater than 1 gb is it possible;mysql max allowed packet greater than 1 gb is it possible
CD18;MySQL;Configuration;mysql binary logs more than 15 gb;mysql binary logs more than 15 gb
CD19;MySQL;Configuration;why does mysql say im out of memory（out of memory;why does mysql say im out of memory (out of memory
CD20;MySQL;Configuration;mysql is running slow on db import;mysql is running slow on db import
CD21;MySQL;Configuration;mysql cant create test file 1067 error;mysql cant create test file 1067 error
CD22;MySQL;Configuration;could not start the service mysql error0 how to get mysql 5 5 server running;could not start the service mysql error0 how to get mysql 5 5 server running
CD23;MySQL;Configuration;mysql 5 1 69 at centos 6 4 doesnt know enable named pipe;mysql 5 1 69 at centos 6 4 doesnt know enable named pipe
CD24;MySQL;Configuration;mysql database config optimization;mysql database config optimization
CD25;MySQL;Configuration;fixing mysql errors recorded in error logs;fixing mysql errors recorded in error logs
CD26;MySQL;Configuration;mysql query extremely slow after server restart;mysql query extremely slow after server restart
CD27;MySQL;Configuration;mysql binlogs seems incomplete;mysql binlogs seems incomplete
CD28;MySQL;Configuration;innodb master master replication goes inconsistant after power failure tests;innodb master master replication goes inconsistant after power failure tests
CD29;MySQL;Configuration;what are huge files 0 000001 and 0 000002 files and so on in mysql data folder;what are huge files 0 000001 and 0 000002 files and so on in mysql data folder
CD30;MySQL;Configuration;mysql is running very slow on centos 6x not 5x;mysql is running very slow on centos 6x not 5x
CD31;MySQL;Configuration;lots of mysql sleep processes;lots of mysql sleep processes
CD32;MySQL;Configuration;24 cores and MYSQL is using 1 on INSERT;24 cores and MYSQL is using 1 on INSERT
CD33;MySQL;Configuration;finding swap causes of mysql;finding swap causes of mysql
CD34;MySQL;Configuration;Help about log mysql;Help about log mysql
CD35;MySQL;Configuration;very slow mysql;very slow mysql
CD36;MySQL;Configuration;mysql is hogging my server resources;mysql is hogging my server resources
CD37;MySQL;Configuration;mysql connection taking too much time;mysql connection taking too much time
CD38;Apache httpd;Configuration;Apache VirtualHost and ModProxy not working as hoped;Apache VirtualHost and ModProxy not working as hoped
CD39;PHP;Configuration;Php-Fpm 7 server reached pm.max_children;Php-Fpm 7 server reached pm.max_children
CD40;PHP;Configuration;MySql crashes randomly Out of memory: Kill process 24978 (mysqld) score 99 or sacrifice child;MySql crashes randomly Out of memory: Kill process 24978 (mysqld) score 99 or sacrifice child
CD41;PHP;Configuration;Disabling PHP Deprecation Warnings and Notices;Disabling PHP Deprecation Warnings and Notices
CD42;PHP;Configuration;php-fpm said “failed to post process the configuration”;php-fpm said “failed to post process the configuration”
CD43;PHP;Configuration;How can I make the Apache/PHP setup on my VPS show PHP errors and warnings?;How can I make the Apache/PHP setup on my VPS show PHP errors and warnings?
CD44;PHP;Configuration;PHP-FPM process getting crashed in every few days due to reached pm.max_children;PHP-FPM process getting crashed in every few days due to reached pm.max_children
